	DOXORUBICIN	ETOPOSIDE	PACLITAXEL	CARBOPLATIN	CYCLOPHOSPHAMIDE	FLUOROURACIL	TOP2_consensus	TRAMETINIB	GEFITINIB	LAPATINIB	FULVESTRANT	IMATINIB
DOXORUBICIN	1.0	0.7588920602114958	0.4648067554911892	0.7928415729044915	-0.08817384837645326	-0.25891783279735947	0.8228031997239524	-0.44371472988826244	-0.41448963350516327	-0.3819056593837219	-0.2955562216063475	0.5319210887523367
ETOPOSIDE	0.7588920602114958	1.0	0.4726416059018035	0.6527621279580854	-0.0619541977496275	-0.4135237692542996	0.9004032758224338	-0.6463476758414579	-0.6024169037685333	-0.540912345931071	-0.278854092927435	0.40762972132626957
PACLITAXEL	0.4648067554911892	0.4726416059018035	1.0	0.38923113640255425	-0.3262194425351733	0.22656810854680892	0.5217406667360268	-0.3005917237805415	0.0884027245413509	0.14029271254532757	-0.069163115155593	0.2844988713034471
CARBOPLATIN	0.7928415729044915	0.6527621279580854	0.38923113640255425	1.0	-0.037348433424944316	-0.22299449571661759	0.6475595361971829	-0.39045287567860976	-0.4491755015009891	-0.3680773599983466	-0.2184877401235866	0.5462389123906939
CYCLOPHOSPHAMIDE	-0.08817384837645326	-0.0619541977496275	-0.3262194425351733	-0.037348433424944316	1.0	-0.2063194033455003	-0.06826245276465949	0.029829991412621947	-0.18596657335803313	-0.23999935088132038	0.03443116373269735	-0.1667875587643032
FLUOROURACIL	-0.25891783279735947	-0.4135237692542996	0.22656810854680892	-0.22299449571661759	-0.2063194033455003	1.0	-0.3530566441182619	0.44486433807145476	0.7764589243251226	0.8670701209965402	0.466524731191899	0.10424132488601093
TOP2_consensus	0.8228031997239524	0.9004032758224338	0.5217406667360268	0.6475595361971829	-0.06826245276465949	-0.3530566441182619	1.0	-0.5532606236125946	-0.4901001086536667	-0.4680473701535124	-0.2916814142173092	0.3609856112107721
TRAMETINIB	-0.44371472988826244	-0.6463476758414579	-0.3005917237805415	-0.39045287567860976	0.029829991412621947	0.44486433807145476	-0.5532606236125946	1.0	0.5728411029398448	0.4463322241575753	-0.09915106446046608	-0.24124323275008605
GEFITINIB	-0.41448963350516327	-0.6024169037685333	0.0884027245413509	-0.4491755015009891	-0.18596657335803313	0.7764589243251226	-0.4901001086536667	0.5728411029398448	1.0	0.9150819789510823	0.3164647482367881	-0.188995230040425
LAPATINIB	-0.3819056593837219	-0.540912345931071	0.14029271254532757	-0.3680773599983466	-0.23999935088132038	0.8670701209965402	-0.4680473701535124	0.4463322241575753	0.9150819789510823	1.0	0.5163630588184944	-0.05828761026226809
FULVESTRANT	-0.2955562216063475	-0.278854092927435	-0.069163115155593	-0.2184877401235866	0.03443116373269735	0.466524731191899	-0.2916814142173092	-0.09915106446046608	0.3164647482367881	0.5163630588184944	1.0	0.04766928609912199
IMATINIB	0.5319210887523367	0.40762972132626957	0.2844988713034471	0.5462389123906939	-0.1667875587643032	0.10424132488601093	0.3609856112107721	-0.24124323275008605	-0.188995230040425	-0.05828761026226809	0.04766928609912199	1.0
