gene_symbol	direction	rank_in_direction	delta
GMFG	sensitivity	1	1.838726878
CD53	sensitivity	2	1.617992851
PTPN7	sensitivity	3	1.57355843
RPS4Y1	sensitivity	4	1.549514575
NCKAP1L	sensitivity	5	1.522280458
PTPRC	sensitivity	6	1.483555037
LAPTM5	sensitivity	7	1.466900328
SLC38A5	sensitivity	8	1.459444607
IKZF1	sensitivity	9	1.455111634
SPN	sensitivity	10	1.429062028
ITGA4	sensitivity	11	1.407971202
CORO1A	sensitivity	12	1.404958432
FERMT3	sensitivity	13	1.385855921
PTPRCAP	sensitivity	14	1.364753013
AIF1	sensitivity	15	1.343993292
RASGRP2	sensitivity	16	1.301285349
RCSD1	sensitivity	17	1.301048731
FLI1	sensitivity	18	1.298229249
LIMD2	sensitivity	19	1.295035219
CD52	sensitivity	20	1.274589568
ARHGAP15	sensitivity	21	1.274416657
NREP	sensitivity	22	1.270328154
WAS	sensitivity	23	1.260301792
GPX7	sensitivity	24	1.25648097
MYB	sensitivity	25	1.242439737
ARHGEF6	sensitivity	26	1.233822693
SASH3	sensitivity	27	1.218098213
SRGN	sensitivity	28	1.212644953
IL2RG	sensitivity	29	1.202985207
ARHGAP30	sensitivity	30	1.200508271
MAL2	resistance	1	-2.457751692
KRT7	resistance	2	-2.382800127
CLDN4	resistance	3	-2.364238212
KRT19	resistance	4	-2.344505799
KRT8	resistance	5	-2.284218713
FXYD3	resistance	6	-2.151777998
KRT18	resistance	7	-2.119674929
EPCAM	resistance	8	-2.085794642
ELF3	resistance	9	-2.085372948
CDH1	resistance	10	-2.066707904
C19ORF33	resistance	11	-2.037254265
TSPAN1	resistance	12	-1.990814124
AP1M2	resistance	13	-1.98491026
LSR	resistance	14	-1.982657173
ADGRG1	resistance	15	-1.875919699
PERP	resistance	16	-1.874908391
ITGA3	resistance	17	-1.872654932
SPINT2	resistance	18	-1.852340299
SPINT1	resistance	19	-1.850979476
TINAGL1	resistance	20	-1.849763417
SLPI	resistance	21	-1.841100642
LTBR	resistance	22	-1.821875288
CLDN7	resistance	23	-1.774927878
EPS8L2	resistance	24	-1.765647845
TACSTD2	resistance	25	-1.755332613
S100A14	resistance	26	-1.751041733
PLK2	resistance	27	-1.7509228
ERBB3	resistance	28	-1.748487905
PLPP2	resistance	29	-1.745856002
ESRP1	resistance	30	-1.732129206
