gene_symbol	direction	rank_in_direction	delta
CORO1A	sensitivity	1	1.80233752
GMFG	sensitivity	2	1.738921625
CD53	sensitivity	3	1.707156879
IRAG2	sensitivity	4	1.684943112
ARHGAP4	sensitivity	5	1.607374787
RHOH	sensitivity	6	1.585301689
MZB1	sensitivity	7	1.575826374
NCKAP1L	sensitivity	8	1.567826334
MFNG	sensitivity	9	1.56385075
IKZF1	sensitivity	10	1.559271293
CXCR4	sensitivity	11	1.53951613
PTPRCAP	sensitivity	12	1.5380132
HCLS1	sensitivity	13	1.530799098
RCSD1	sensitivity	14	1.530219256
LCP1	sensitivity	15	1.505013159
LAPTM5	sensitivity	16	1.501165004
IL2RG	sensitivity	17	1.475268798
PTPN7	sensitivity	18	1.474159168
CD48	sensitivity	19	1.471936453
MAP4K1	sensitivity	20	1.461498039
PTPRC	sensitivity	21	1.434499595
MYB	sensitivity	22	1.426209049
SLC38A5	sensitivity	23	1.406446673
SPN	sensitivity	24	1.405949612
SLC43A3	sensitivity	25	1.383131063
LEF1	sensitivity	26	1.382363469
WAS	sensitivity	27	1.358265103
CD79A	sensitivity	28	1.345295154
CD38	sensitivity	29	1.341421274
ARHGAP30	sensitivity	30	1.333655516
TM4SF1	resistance	1	-2.213086176
ANXA1	resistance	2	-2.04217017
CCN1	resistance	3	-1.980525304
CAV1	resistance	4	-1.949038705
TNFRSF12A	resistance	5	-1.912386068
CAV2	resistance	6	-1.883541639
GPRC5A	resistance	7	-1.874375912
KRT18	resistance	8	-1.868995444
TGFBI	resistance	9	-1.863937812
S100A6	resistance	10	-1.85030839
MYOF	resistance	11	-1.844841689
PRSS23	resistance	12	-1.844505078
KRT8	resistance	13	-1.824979148
LAMB2	resistance	14	-1.796519817
PTGR1	resistance	15	-1.791754118
S100A16	resistance	16	-1.777974455
PLK2	resistance	17	-1.747475719
ITGA3	resistance	18	-1.730940787
EMP1	resistance	19	-1.643287337
ERRFI1	resistance	20	-1.638964009
GPX8	resistance	21	-1.633471067
NQO1	resistance	22	-1.617253134
CNN3	resistance	23	-1.615351472
FHL2	resistance	24	-1.567911534
C19ORF33	resistance	25	-1.565691076
S100A10	resistance	26	-1.56193562
CAVIN1	resistance	27	-1.555186733
PLPP2	resistance	28	-1.550636653
PPIC	resistance	29	-1.540102268
YAP1	resistance	30	-1.532803755
