gene_symbol	direction	rank_in_direction	delta
DKK1	sensitivity	1	1.407274737
CD24	sensitivity	2	1.234300919
MME	sensitivity	3	1.215903947
RBP1	sensitivity	4	1.032537678
CCN2	sensitivity	5	0.9586594634
VPREB3	sensitivity	6	0.9259158146
ANKRD1	sensitivity	7	0.9209056223
EMP1	sensitivity	8	0.9077066119
COTL1	sensitivity	9	0.8871404251
TP53I11	sensitivity	10	0.8446166383
TIMP3	sensitivity	11	0.8170656638
HSPG2	sensitivity	12	0.8168914439
RNASE1	sensitivity	13	0.8073932777
H2AJ	sensitivity	14	0.805068497
FSTL1	sensitivity	15	0.7977706009
TGFBI	sensitivity	16	0.7934933264
COL4A1	sensitivity	17	0.7903554995
BMP4	sensitivity	18	0.7887054844
TPM2	sensitivity	19	0.7845996043
GPX8	sensitivity	20	0.7804760168
GULP1	sensitivity	21	0.7798960663
CEMIP	sensitivity	22	0.7739013739
THBS1	sensitivity	23	0.7701787243
PTK2	sensitivity	24	0.7698668158
TLE4	sensitivity	25	0.7693878326
PLPP2	sensitivity	26	0.7644576478
MEST	sensitivity	27	0.7534190604
CCN1	sensitivity	28	0.7488575396
NT5E	sensitivity	29	0.7424486645
CDC42EP5	sensitivity	30	0.741412981
LCP1	resistance	1	-0.9807468872
SLC38A5	resistance	2	-0.9347996833
CD3D	resistance	3	-0.9335812565
MAGEA4	resistance	4	-0.9158981359
CLU	resistance	5	-0.823114803
ENO2	resistance	6	-0.8181566384
GTSF1	resistance	7	-0.8084598815
TLE3	resistance	8	-0.8027820658
BATF3	resistance	9	-0.7663575592
ASRGL1	resistance	10	-0.7562008472
CSTA	resistance	11	-0.7463410904
LAT	resistance	12	-0.7462716539
IL2RB	resistance	13	-0.743670633
GFI1	resistance	14	-0.7425466041
SELPLG	resistance	15	-0.7257005287
TDRD9	resistance	16	-0.7206988632
TNFSF10	resistance	17	-0.71933976
ZNF595	resistance	18	-0.7185215688
TNFRSF8	resistance	19	-0.7146556717
IL6R	resistance	20	-0.7045906833
PTPRC	resistance	21	-0.699127945
LCP2	resistance	22	-0.6972182303
CES3	resistance	23	-0.6913379061
BCHE	resistance	24	-0.6840819153
FADS2	resistance	25	-0.6832819672
BATF	resistance	26	-0.6763532694
MSC	resistance	27	-0.6626727303
CTAG2	resistance	28	-0.6557639127
CLGN	resistance	29	-0.6414822401
MGST1	resistance	30	-0.6385746427
