gene_symbol	direction	rank_in_direction	delta
CD74	sensitivity	1	3.364816704
HLA-DRA	sensitivity	2	3.33842015
GYPC	sensitivity	3	2.983786584
HLA-DPA1	sensitivity	4	2.856356351
TRPV2	sensitivity	5	2.29557613
WIPF1	sensitivity	6	2.292165399
LAPTM5	sensitivity	7	2.285261433
GMFG	sensitivity	8	2.274802161
FCRLA	sensitivity	9	2.217724779
S100B	sensitivity	10	2.207324173
CD53	sensitivity	11	2.182173584
GPSM3	sensitivity	12	2.169606976
LPXN	sensitivity	13	2.168041447
HLA-DPB1	sensitivity	14	2.157877443
RAC2	sensitivity	15	2.145296867
IRF4	sensitivity	16	2.138858846
IL16	sensitivity	17	2.122213846
EMP3	sensitivity	18	2.085750422
ITGA4	sensitivity	19	2.063040342
GAS7	sensitivity	20	2.033991839
PHACTR1	sensitivity	21	2.027227127
CD79B	sensitivity	22	2.011442037
JCHAIN	sensitivity	23	2.005703803
FERMT3	sensitivity	24	1.996864535
HCLS1	sensitivity	25	1.979148699
BCL2A1	sensitivity	26	1.96713868
IFI16	sensitivity	27	1.962694436
IL2RG	sensitivity	28	1.961085511
SLC43A3	sensitivity	29	1.960256691
HLA-DRB1	sensitivity	30	1.939593619
KRT19	resistance	1	-2.942478018
CLDN4	resistance	2	-2.785422227
CD24	resistance	3	-2.747171297
ELF3	resistance	4	-2.696540351
CLU	resistance	5	-2.643779904
S100A14	resistance	6	-2.609542667
SLPI	resistance	7	-2.603745129
DSP	resistance	8	-2.598018234
MAL2	resistance	9	-2.573748493
TACSTD2	resistance	10	-2.550461412
KRT8	resistance	11	-2.548422966
ASS1	resistance	12	-2.522852461
SCNN1A	resistance	13	-2.47250247
RAB25	resistance	14	-2.447437699
CDH1	resistance	15	-2.424084296
CLDN7	resistance	16	-2.415432414
KRT7	resistance	17	-2.404546344
EPCAM	resistance	18	-2.397707211
SPINT2	resistance	19	-2.378901674
KRT18	resistance	20	-2.364679398
SFN	resistance	21	-2.359908993
CRABP2	resistance	22	-2.296668471
EFNA1	resistance	23	-2.29012702
C19ORF33	resistance	24	-2.278943845
TSPAN1	resistance	25	-2.237559337
ID1	resistance	26	-2.188946839
TRIM29	resistance	27	-2.145192432
AP1M2	resistance	28	-2.130478416
LSR	resistance	29	-2.122874294
SPINT1	resistance	30	-2.122645791
