gene_symbol	direction	rank_in_direction	delta
GMFG	sensitivity	1	3.411432542
LAPTM5	sensitivity	2	3.39327337
CORO1A	sensitivity	3	3.291569461
CD53	sensitivity	4	3.230586215
HCLS1	sensitivity	5	3.228725058
PTPN7	sensitivity	6	3.006828213
NCKAP1L	sensitivity	7	2.976160472
PTPRC	sensitivity	8	2.921298187
ARHGDIB	sensitivity	9	2.877074902
CD74	sensitivity	10	2.872456441
LCP1	sensitivity	11	2.86507053
IKZF1	sensitivity	12	2.857139228
IL2RG	sensitivity	13	2.832408478
FERMT3	sensitivity	14	2.748885013
IRAG2	sensitivity	15	2.739849887
RCSD1	sensitivity	16	2.654767696
MFNG	sensitivity	17	2.621262232
WAS	sensitivity	18	2.602995654
INPP5D	sensitivity	19	2.588003127
CD52	sensitivity	20	2.582229712
HLA-DRA	sensitivity	21	2.579015621
SPN	sensitivity	22	2.572708385
PTPRCAP	sensitivity	23	2.570624858
ARHGAP15	sensitivity	24	2.545924376
ARHGAP30	sensitivity	25	2.523817568
RAC2	sensitivity	26	2.512044949
CD48	sensitivity	27	2.488565713
SLC38A5	sensitivity	28	2.474696929
BTK	sensitivity	29	2.468268836
SASH3	sensitivity	30	2.467449543
TM4SF1	resistance	1	-3.237781501
KRT8	resistance	2	-3.092226593
KRT18	resistance	3	-3.032909405
GPRC5A	resistance	4	-2.846944333
LAMB2	resistance	5	-2.845447519
PRSS23	resistance	6	-2.826615498
MYOF	resistance	7	-2.824174457
PLS3	resistance	8	-2.74068498
CCN1	resistance	9	-2.730070709
TNFRSF12A	resistance	10	-2.717842851
ITGA3	resistance	11	-2.709065845
S100A6	resistance	12	-2.697002801
PERP	resistance	13	-2.637981423
KRT19	resistance	14	-2.624567706
S100A16	resistance	15	-2.612917973
PLK2	resistance	16	-2.608257458
NQO1	resistance	17	-2.594758825
TGFBI	resistance	18	-2.574121791
CNN3	resistance	19	-2.554168006
CLDN4	resistance	20	-2.531871744
DKK1	resistance	21	-2.531227858
ID1	resistance	22	-2.530835018
GNG12	resistance	23	-2.525227198
SDC4	resistance	24	-2.516962894
ITGB5	resistance	25	-2.516447725
AMOTL2	resistance	26	-2.480635996
MET	resistance	27	-2.480282326
FKBP9	resistance	28	-2.478193466
ATP1B1	resistance	29	-2.457539164
PLPP2	resistance	30	-2.450367603
