gene_symbol	direction	rank_in_direction	delta
PLAU	sensitivity	1	2.781778225
C19ORF33	sensitivity	2	2.350082745
LAMC2	sensitivity	3	2.333434077
RAC2	sensitivity	4	2.274898111
KRT17	sensitivity	5	2.263124798
ARHGDIB	sensitivity	6	2.262874153
IL32	sensitivity	7	2.187206775
IFI27	sensitivity	8	2.139502865
IFITM1	sensitivity	9	2.125981589
SAA1	sensitivity	10	2.100927509
TINAGL1	sensitivity	11	2.066057141
C3	sensitivity	12	2.022766265
TGFBI	sensitivity	13	2.005519738
LCN2	sensitivity	14	1.984941681
SERPINE1	sensitivity	15	1.947035622
TGM2	sensitivity	16	1.911669577
S100A2	sensitivity	17	1.907798898
F3	sensitivity	18	1.893791744
EFEMP1	sensitivity	19	1.892323646
CST6	sensitivity	20	1.8684293
TACSTD2	sensitivity	21	1.857020487
IL18	sensitivity	22	1.8204756
ANXA3	sensitivity	23	1.773124308
AXL	sensitivity	24	1.759324041
CCN1	sensitivity	25	1.702349229
FGFBP1	sensitivity	26	1.685759507
KRT5	sensitivity	27	1.679863929
APOL1	sensitivity	28	1.661470712
ANXA8	sensitivity	29	1.659541204
ANXA8L1	sensitivity	30	1.643701596
GJB1	resistance	1	-1.718168783
IGFBP2	resistance	2	-1.713400507
HES6	resistance	3	-1.688023477
VGF	resistance	4	-1.672897926
TFF3	resistance	5	-1.664154334
IGFBP5	resistance	6	-1.659860926
PODXL2	resistance	7	-1.655302372
BAMBI	resistance	8	-1.601963819
S100B	resistance	9	-1.595697568
SELENBP1	resistance	10	-1.567878083
MCF2L	resistance	11	-1.467583227
CKMT1B	resistance	12	-1.461639932
GNG4	resistance	13	-1.455019594
SYP	resistance	14	-1.454862654
TBC1D16	resistance	15	-1.43879092
NRCAM	resistance	16	-1.400179974
MAGEA3	resistance	17	-1.398401978
GSTA4	resistance	18	-1.39579799
TBX3	resistance	19	-1.39044192
ASRGL1	resistance	20	-1.386669601
JAM3	resistance	21	-1.376853235
ALDH1A1	resistance	22	-1.369639322
CITED1	resistance	23	-1.353768715
MAGEA6	resistance	24	-1.349752383
ELAPOR1	resistance	25	-1.344851583
BEX1	resistance	26	-1.343935151
PDZRN3	resistance	27	-1.338750829
MLPH	resistance	28	-1.333436117
MAGEA12	resistance	29	-1.327233613
DDC	resistance	30	-1.319000174
