gene_symbol	direction	rank_in_direction	delta
MZB1	sensitivity	1	2.776662208
IRAG2	sensitivity	2	2.345733307
PTPRCAP	sensitivity	3	2.303619974
JCHAIN	sensitivity	4	2.300405134
CD48	sensitivity	5	2.26648316
CD53	sensitivity	6	2.254342338
IKZF1	sensitivity	7	2.165906274
GMFG	sensitivity	8	2.151873761
RCSD1	sensitivity	9	2.140563552
HLA-DRA	sensitivity	10	2.068389277
CD79B	sensitivity	11	2.02298002
CORO1A	sensitivity	12	2.006282497
POU2AF1	sensitivity	13	1.977931493
CD79A	sensitivity	14	1.954637167
IL2RG	sensitivity	15	1.954049756
SASH3	sensitivity	16	1.953839743
CXCR4	sensitivity	17	1.950449376
RHOH	sensitivity	18	1.903632081
HCLS1	sensitivity	19	1.902769811
MAP4K1	sensitivity	20	1.897381126
SLC38A5	sensitivity	21	1.888883223
WAS	sensitivity	22	1.884418579
ARHGAP30	sensitivity	23	1.866657914
IRF4	sensitivity	24	1.836131279
HLA-DPA1	sensitivity	25	1.817886565
P2RY8	sensitivity	26	1.785965835
PTPN7	sensitivity	27	1.782308028
NCKAP1L	sensitivity	28	1.764204354
DOCK2	sensitivity	29	1.754160876
CD52	sensitivity	30	1.735998145
KRT18	resistance	1	-2.439479539
KRT8	resistance	2	-2.42687688
TGFBI	resistance	3	-2.238946491
TM4SF1	resistance	4	-2.169917739
TNFRSF12A	resistance	5	-2.13358827
CNN3	resistance	6	-2.097091792
LAMB1	resistance	7	-2.053103924
LAMB2	resistance	8	-2.033342328
S100A6	resistance	9	-2.029042439
FKBP9	resistance	10	-2.016319136
ANXA1	resistance	11	-2.007761183
ERRFI1	resistance	12	-1.97152288
SDC4	resistance	13	-1.965533775
LTBR	resistance	14	-1.956436964
TPM1	resistance	15	-1.948762272
EPHA2	resistance	16	-1.945059215
S100A16	resistance	17	-1.937246146
PLPP2	resistance	18	-1.930426734
F3	resistance	19	-1.930386637
CD276	resistance	20	-1.930089273
PTGR1	resistance	21	-1.918141331
CCND1	resistance	22	-1.901982275
GDF15	resistance	23	-1.884700492
CLDN4	resistance	24	-1.883415155
AMIGO2	resistance	25	-1.871383435
ITGA3	resistance	26	-1.859523358
FHL2	resistance	27	-1.856519638
MYOF	resistance	28	-1.840753536
PLS3	resistance	29	-1.83848532
NQO1	resistance	30	-1.836445172
