gene_symbol	direction	rank_in_direction	delta
HCLS1	sensitivity	1	4.100334573
CORO1A	sensitivity	2	3.607213011
CD53	sensitivity	3	3.580353891
IRAG2	sensitivity	4	3.530095911
GMFG	sensitivity	5	3.467080279
LAPTM5	sensitivity	6	3.379080635
NCKAP1L	sensitivity	7	3.314317707
ARHGAP4	sensitivity	8	3.251331226
IKZF1	sensitivity	9	3.250816699
IL2RG	sensitivity	10	3.23527369
CD48	sensitivity	11	3.226688652
RCSD1	sensitivity	12	3.169717132
MFNG	sensitivity	13	3.152298375
WAS	sensitivity	14	3.098212318
LCP1	sensitivity	15	3.006970462
MAP4K1	sensitivity	16	2.978729398
PTPN7	sensitivity	17	2.956855226
SPN	sensitivity	18	2.935083625
PTPRC	sensitivity	19	2.875017402
CD52	sensitivity	20	2.850248627
ARHGAP30	sensitivity	21	2.846488398
RHOH	sensitivity	22	2.834639986
PTPRCAP	sensitivity	23	2.833186559
CD79B	sensitivity	24	2.821249667
MZB1	sensitivity	25	2.820212879
JCHAIN	sensitivity	26	2.809235229
FERMT3	sensitivity	27	2.7891682
BTK	sensitivity	28	2.77619431
SLC38A5	sensitivity	29	2.747160774
P2RY8	sensitivity	30	2.70546209
FN1	resistance	1	-3.943761742
THBS1	resistance	2	-3.815169691
CCN1	resistance	3	-3.802255881
PRSS23	resistance	4	-3.800426268
LAMB2	resistance	5	-3.762064696
S100A16	resistance	6	-3.750703483
TM4SF1	resistance	7	-3.719107903
PLK2	resistance	8	-3.689137459
S100A6	resistance	9	-3.684524152
TGFBI	resistance	10	-3.675496582
TNFRSF12A	resistance	11	-3.566746078
KRT19	resistance	12	-3.522944797
MLPH	resistance	13	-3.503051919
CNN3	resistance	14	-3.445674299
MYOF	resistance	15	-3.441294966
GPRC5A	resistance	16	-3.416874792
ITGA3	resistance	17	-3.350763492
KRT8	resistance	18	-3.281360868
LAMB1	resistance	19	-3.279051414
KRT18	resistance	20	-3.26730687
CALD1	resistance	21	-3.266461221
LTBR	resistance	22	-3.255573313
LGALS3	resistance	23	-3.248264266
GNG12	resistance	24	-3.235543236
AMOTL2	resistance	25	-3.222541695
SPARC	resistance	26	-3.18252369
FSTL1	resistance	27	-3.142099629
IGFBP3	resistance	28	-3.128529808
YAP1	resistance	29	-3.125474171
S100A10	resistance	30	-3.086841996
