gene_symbol	direction	rank_in_direction	delta
CORO1A	sensitivity	1	4.021008271
HCLS1	sensitivity	2	3.866566888
CD53	sensitivity	3	3.809419481
GMFG	sensitivity	4	3.635133236
IRAG2	sensitivity	5	3.352764188
PTPN7	sensitivity	6	3.313080467
IKZF1	sensitivity	7	3.281188291
CD48	sensitivity	8	3.208432921
LCP1	sensitivity	9	3.207408333
LAPTM5	sensitivity	10	3.201414825
NCKAP1L	sensitivity	11	3.149802012
WAS	sensitivity	12	3.061861289
CXCR4	sensitivity	13	3.031989206
RCSD1	sensitivity	14	3.021025605
MAP4K1	sensitivity	15	3.012530695
MZB1	sensitivity	16	3.00870242
ARHGAP30	sensitivity	17	3.001988191
PTPRC	sensitivity	18	2.985895543
ELMO1	sensitivity	19	2.981326079
PTPRCAP	sensitivity	20	2.915687534
SPN	sensitivity	21	2.910746862
IL2RG	sensitivity	22	2.859444378
RHOH	sensitivity	23	2.82885341
P2RY8	sensitivity	24	2.79938377
INPP5D	sensitivity	25	2.721944099
ARHGAP4	sensitivity	26	2.719971647
MYB	sensitivity	27	2.709985099
SASH3	sensitivity	28	2.691653948
ITGA4	sensitivity	29	2.644523676
ARHGAP15	sensitivity	30	2.640612268
KRT8	resistance	1	-4.992813396
KRT18	resistance	2	-4.81868439
S100A16	resistance	3	-4.673751685
KRT19	resistance	4	-4.587932603
TM4SF1	resistance	5	-4.522695854
GPRC5A	resistance	6	-4.402051008
TGFBI	resistance	7	-4.250869843
CAV2	resistance	8	-4.229710285
MYOF	resistance	9	-4.192349496
C19ORF33	resistance	10	-4.182746859
ITGA3	resistance	11	-4.171811295
TNFRSF12A	resistance	12	-4.090174736
CAV1	resistance	13	-4.056363563
S100A6	resistance	14	-4.032267353
PRSS23	resistance	15	-4.002187891
CLDN4	resistance	16	-3.942360093
THBS1	resistance	17	-3.827128
MET	resistance	18	-3.822580098
CCN1	resistance	19	-3.814400174
ABCC3	resistance	20	-3.813786194
KRT7	resistance	21	-3.774884367
PLK2	resistance	22	-3.762637328
ANXA1	resistance	23	-3.740304003
TINAGL1	resistance	24	-3.72238999
EMP1	resistance	25	-3.665127922
SDC4	resistance	26	-3.650979569
LTBR	resistance	27	-3.640336598
LGALS3	resistance	28	-3.625638896
S100A10	resistance	29	-3.600858014
DKK1	resistance	30	-3.552512957
