gene_symbol	direction	rank_in_direction	delta
TACSTD2	sensitivity	1	3.236110177
S100A14	sensitivity	2	3.222732612
FXYD3	sensitivity	3	3.15959773
LCN2	sensitivity	4	2.952062649
S100P	sensitivity	5	2.922082946
KRT17	sensitivity	6	2.879998122
C19ORF33	sensitivity	7	2.840464119
KRT6A	sensitivity	8	2.812486337
KRT5	sensitivity	9	2.773113466
MAL2	sensitivity	10	2.743992863
FGFBP1	sensitivity	11	2.721117572
EPCAM	sensitivity	12	2.719564151
ELF3	sensitivity	13	2.711935534
SPINT2	sensitivity	14	2.635672999
TINAGL1	sensitivity	15	2.60864545
ITGB4	sensitivity	16	2.583631098
KRT19	sensitivity	17	2.579927062
SFN	sensitivity	18	2.557634599
CDH1	sensitivity	19	2.50341497
MPZL2	sensitivity	20	2.495433583
LAMC2	sensitivity	21	2.483513
CLDN4	sensitivity	22	2.46092332
RAB25	sensitivity	23	2.446530562
SERPINB5	sensitivity	24	2.440601249
AREG	sensitivity	25	2.440579574
SPINT1	sensitivity	26	2.407379678
S100A9	sensitivity	27	2.397323481
CLDN7	sensitivity	28	2.393834826
LAD1	sensitivity	29	2.388527006
TRIM29	sensitivity	30	2.387652252
VIM	resistance	1	-2.417959772
SPARC	resistance	2	-2.250475909
UCHL1	resistance	3	-1.993756993
ANXA6	resistance	4	-1.982060653
TUBA1A	resistance	5	-1.876719251
FHL1	resistance	6	-1.841817178
CADM1	resistance	7	-1.715180528
DPYSL3	resistance	8	-1.712098863
THY1	resistance	9	-1.661546459
EMP3	resistance	10	-1.629661594
DDR2	resistance	11	-1.620840428
COL1A2	resistance	12	-1.61422482
JAM3	resistance	13	-1.609893474
GYPC	resistance	14	-1.602772076
BEX1	resistance	15	-1.601898721
COL6A3	resistance	16	-1.595056617
TUBB2B	resistance	17	-1.554559948
ZEB1	resistance	18	-1.542279385
CNRIP1	resistance	19	-1.541015662
WIPF1	resistance	20	-1.522557001
ATP8B2	resistance	21	-1.518622328
SYT11	resistance	22	-1.489157935
FGFR1	resistance	23	-1.476714581
MAP1B	resistance	24	-1.472919796
TCF4	resistance	25	-1.470750868
NREP	resistance	26	-1.451218165
NRN1	resistance	27	-1.450157737
SDC2	resistance	28	-1.412479172
COL6A2	resistance	29	-1.408581496
NCAM1	resistance	30	-1.407713626
