gene_symbol	direction	rank_in_direction	delta
CORO1A	sensitivity	1	4.013693547
CD53	sensitivity	2	3.960979903
HCLS1	sensitivity	3	3.913406254
GMFG	sensitivity	4	3.819945075
IRAG2	sensitivity	5	3.624209634
NCKAP1L	sensitivity	6	3.520661702
IKZF1	sensitivity	7	3.465188543
PTPN7	sensitivity	8	3.420603011
PTPRC	sensitivity	9	3.307251564
LAPTM5	sensitivity	10	3.30153024
LCP1	sensitivity	11	3.29959905
WAS	sensitivity	12	3.275082181
CD48	sensitivity	13	3.227344738
SPN	sensitivity	14	3.205170773
MZB1	sensitivity	15	3.160633927
ARHGAP30	sensitivity	16	3.121661074
RCSD1	sensitivity	17	3.099149914
RHOH	sensitivity	18	3.087251478
CXCR4	sensitivity	19	3.085080567
ELMO1	sensitivity	20	3.064778547
PTPRCAP	sensitivity	21	2.97780818
MAP4K1	sensitivity	22	2.970171521
MYB	sensitivity	23	2.9656436
MFNG	sensitivity	24	2.961768491
IL2RG	sensitivity	25	2.960215371
ARHGAP15	sensitivity	26	2.933459256
CD79A	sensitivity	27	2.889669899
SASH3	sensitivity	28	2.883166565
P2RY8	sensitivity	29	2.875380077
FERMT3	sensitivity	30	2.870558121
KRT8	resistance	1	-4.921045505
KRT18	resistance	2	-4.713502742
S100A16	resistance	3	-4.659628861
TM4SF1	resistance	4	-4.541368951
KRT19	resistance	5	-4.276401412
GPRC5A	resistance	6	-4.246725312
C19ORF33	resistance	7	-4.235627606
TGFBI	resistance	8	-4.051920649
TNFRSF12A	resistance	9	-4.046434641
ITGA3	resistance	10	-4.045372828
MYOF	resistance	11	-3.978569317
S100A6	resistance	12	-3.863200579
PRSS23	resistance	13	-3.850090559
CAV2	resistance	14	-3.849797898
CLDN4	resistance	15	-3.841622508
PLK2	resistance	16	-3.809443024
CCN1	resistance	17	-3.760174529
KRT7	resistance	18	-3.724177051
TINAGL1	resistance	19	-3.711869869
THBS1	resistance	20	-3.664659677
CAV1	resistance	21	-3.613906559
LTBR	resistance	22	-3.612852634
MAL2	resistance	23	-3.579988473
SDC4	resistance	24	-3.573151266
LAMB2	resistance	25	-3.552772028
LGALS3	resistance	26	-3.550353018
EMP1	resistance	27	-3.546800031
MET	resistance	28	-3.538198446
CCND1	resistance	29	-3.521790455
EPHA2	resistance	30	-3.50050304
