gene_symbol	direction	rank_in_direction	delta
GMFG	sensitivity	1	2.497429222
SLC38A5	sensitivity	2	2.441552689
CORO1A	sensitivity	3	2.434909133
HCLS1	sensitivity	4	2.428056955
CD53	sensitivity	5	2.372747349
MYB	sensitivity	6	2.294317146
PTPN7	sensitivity	7	2.281158162
INPP5D	sensitivity	8	2.270665621
MFNG	sensitivity	9	2.258094412
LAPTM5	sensitivity	10	2.179274308
PTPRC	sensitivity	11	2.143620458
IL2RG	sensitivity	12	2.124048238
IRAG2	sensitivity	13	2.122702571
ARHGAP4	sensitivity	14	2.112200732
WAS	sensitivity	15	2.10233365
IKZF1	sensitivity	16	2.101678216
NCKAP1L	sensitivity	17	2.062035121
CD48	sensitivity	18	2.035883932
ARHGAP30	sensitivity	19	1.999925843
LAT2	sensitivity	20	1.987369558
FERMT3	sensitivity	21	1.956258966
SPN	sensitivity	22	1.929641346
HSH2D	sensitivity	23	1.892079251
RCSD1	sensitivity	24	1.880339596
RHOH	sensitivity	25	1.846770213
PTPRCAP	sensitivity	26	1.82791896
MYO1G	sensitivity	27	1.81140578
PTPN6	sensitivity	28	1.809323436
TRAF3IP3	sensitivity	29	1.778860386
VAV1	sensitivity	30	1.774858233
FN1	resistance	1	-4.038036142
SPARC	resistance	2	-3.554995012
CCN1	resistance	3	-3.373859227
THBS1	resistance	4	-3.241638032
TGFBI	resistance	5	-3.203579376
CAV1	resistance	6	-3.057856815
FSTL1	resistance	7	-3.038287191
NNMT	resistance	8	-3.035380367
CALD1	resistance	9	-3.015794946
CNN3	resistance	10	-2.903828295
PRSS23	resistance	11	-2.851956357
CCN2	resistance	12	-2.841043909
SERPINE1	resistance	13	-2.836841689
PLOD2	resistance	14	-2.834443018
TM4SF1	resistance	15	-2.820726868
TNFRSF12A	resistance	16	-2.786624599
ITGA3	resistance	17	-2.758425327
COL6A2	resistance	18	-2.725240413
PLK2	resistance	19	-2.699351312
CAVIN1	resistance	20	-2.698365635
CAV2	resistance	21	-2.697532126
DKK3	resistance	22	-2.635982722
LAMB1	resistance	23	-2.622144488
S100A16	resistance	24	-2.620343418
DKK1	resistance	25	-2.611464118
IGFBP3	resistance	26	-2.608988163
GNG12	resistance	27	-2.590559084
GPX8	resistance	28	-2.578790354
WWTR1	resistance	29	-2.566240786
CDH2	resistance	30	-2.536996984
