gene_symbol	direction	rank_in_direction	delta
FXYD3	sensitivity	1	3.040765963
S100A14	sensitivity	2	2.844000315
TACSTD2	sensitivity	3	2.841831002
KRT5	sensitivity	4	2.752696587
KRT17	sensitivity	5	2.68798854
MAL2	sensitivity	6	2.656216251
KRT6A	sensitivity	7	2.591031305
FGFBP1	sensitivity	8	2.515654305
RAB25	sensitivity	9	2.491967514
EPCAM	sensitivity	10	2.440043177
GPX2	sensitivity	11	2.423828779
CDH1	sensitivity	12	2.373029722
LAD1	sensitivity	13	2.332344023
ELF3	sensitivity	14	2.325327182
SFN	sensitivity	15	2.309597694
CDH3	sensitivity	16	2.307475868
ST14	sensitivity	17	2.28736365
LCN2	sensitivity	18	2.242731794
AGR2	sensitivity	19	2.234597662
SPINT1	sensitivity	20	2.208227488
IRF6	sensitivity	21	2.196102066
SPINT2	sensitivity	22	2.189152054
MPZL2	sensitivity	23	2.189062998
S100P	sensitivity	24	2.159837744
TRIM29	sensitivity	25	2.138794258
SERPINB5	sensitivity	26	2.115982911
ITGB4	sensitivity	27	2.078156481
ESRP1	sensitivity	28	2.072987151
KRT13	sensitivity	29	2.072347571
CLDN7	sensitivity	30	2.063682036
VIM	resistance	1	-2.587821294
SPARC	resistance	2	-1.9657024
EMP3	resistance	3	-1.755274486
SRGN	resistance	4	-1.657248375
COL6A2	resistance	5	-1.566321363
THY1	resistance	6	-1.48935965
ANXA6	resistance	7	-1.439611667
TUBA1A	resistance	8	-1.424516938
FGFR1	resistance	9	-1.410315465
CNRIP1	resistance	10	-1.393722843
LGALS1	resistance	11	-1.354530668
COL6A3	resistance	12	-1.340624465
ZEB1	resistance	13	-1.323361384
TMEM158	resistance	14	-1.295508998
COL6A1	resistance	15	-1.283748992
FHL1	resistance	16	-1.260293877
DDR2	resistance	17	-1.245575195
C8ORF88	resistance	18	-1.230577241
LOX	resistance	19	-1.230215313
SDC2	resistance	20	-1.225217287
LOXL2	resistance	21	-1.221236217
FBN1	resistance	22	-1.216059924
LIX1L	resistance	23	-1.195918043
JAM3	resistance	24	-1.191460685
MRC2	resistance	25	-1.152645261
CHN1	resistance	26	-1.147584869
GYPC	resistance	27	-1.147095797
VCAN	resistance	28	-1.138253636
CD70	resistance	29	-1.130055032
ZEB2	resistance	30	-1.128338443
