gene_symbol	direction	rank_in_direction	delta
CORO1A	sensitivity	1	3.955844065
CD53	sensitivity	2	3.663998692
GMFG	sensitivity	3	3.611913147
HCLS1	sensitivity	4	3.579161617
IRAG2	sensitivity	5	3.331609231
LAPTM5	sensitivity	6	3.329935883
PTPRC	sensitivity	7	3.276659159
NCKAP1L	sensitivity	8	3.25068962
PTPN7	sensitivity	9	3.246527732
IKZF1	sensitivity	10	3.12895239
IL2RG	sensitivity	11	3.11891266
LCP1	sensitivity	12	3.052202732
ARHGAP4	sensitivity	13	3.038685838
CD48	sensitivity	14	3.023105336
PTPRCAP	sensitivity	15	3.019120701
MFNG	sensitivity	16	3.00137959
SPN	sensitivity	17	2.989500921
RHOH	sensitivity	18	2.977883306
WAS	sensitivity	19	2.966298156
FERMT3	sensitivity	20	2.965649992
INPP5D	sensitivity	21	2.964007172
MYB	sensitivity	22	2.925433703
MAP4K1	sensitivity	23	2.852245598
MZB1	sensitivity	24	2.847690221
RCSD1	sensitivity	25	2.814810117
CXCR4	sensitivity	26	2.808267211
SLFN11	sensitivity	27	2.796739233
ELMO1	sensitivity	28	2.783790939
ARHGAP30	sensitivity	29	2.77702961
LIMD2	sensitivity	30	2.72310237
S100A16	resistance	1	-4.338186712
TM4SF1	resistance	2	-4.209327797
THBS1	resistance	3	-4.155842464
KRT8	resistance	4	-4.141135165
GPRC5A	resistance	5	-4.119050495
CCN1	resistance	6	-4.030022539
KRT18	resistance	7	-4.014764629
MYOF	resistance	8	-4.006935567
ITGA3	resistance	9	-3.994663295
KRT19	resistance	10	-3.97100862
TGFBI	resistance	11	-3.940614463
PRSS23	resistance	12	-3.917909114
TNFRSF12A	resistance	13	-3.906199793
EMP1	resistance	14	-3.862177739
CAV1	resistance	15	-3.852434984
C19ORF33	resistance	16	-3.797884496
KRT7	resistance	17	-3.793816142
CAV2	resistance	18	-3.763582781
PLK2	resistance	19	-3.703850109
IGFBP3	resistance	20	-3.609274394
S100A6	resistance	21	-3.567015224
SDC4	resistance	22	-3.493349232
DKK1	resistance	23	-3.483085047
PLS3	resistance	24	-3.42903111
S100A10	resistance	25	-3.385499036
LAMB2	resistance	26	-3.352768659
ITGB5	resistance	27	-3.333741928
F3	resistance	28	-3.331567328
YAP1	resistance	29	-3.324480692
AMOTL2	resistance	30	-3.311726239
