gene_symbol	direction	rank_in_direction	delta
CLU	sensitivity	1	1.847542925
KRT18	sensitivity	2	1.745668321
S100A16	sensitivity	3	1.684512458
KRT8	sensitivity	4	1.636977064
SERPINB6	sensitivity	5	1.57130511
CCN1	sensitivity	6	1.536417808
ITGB5	sensitivity	7	1.489216711
TFPI2	sensitivity	8	1.460021138
LAMB2	sensitivity	9	1.44760564
TGFBI	sensitivity	10	1.434068515
TM4SF1	sensitivity	11	1.405326873
ANXA1	sensitivity	12	1.394047354
PYGL	sensitivity	13	1.380736679
ALDH3A1	sensitivity	14	1.36843738
CCN2	sensitivity	15	1.367015635
RAB13	sensitivity	16	1.350688568
CAVIN1	sensitivity	17	1.344903877
PTGR1	sensitivity	18	1.342871081
TNFRSF12A	sensitivity	19	1.340233743
PON2	sensitivity	20	1.334681341
P3H2	sensitivity	21	1.333427869
LTBR	sensitivity	22	1.325771344
MYOF	sensitivity	23	1.307042208
PRSS23	sensitivity	24	1.281092492
SDC4	sensitivity	25	1.271074448
IL13RA1	sensitivity	26	1.26939046
TPM1	sensitivity	27	1.268033336
MGST1	sensitivity	28	1.264842682
UACA	sensitivity	29	1.264503132
TRNP1	sensitivity	30	1.255277204
MZB1	resistance	1	-1.704224128
JCHAIN	resistance	2	-1.530522547
CD53	resistance	3	-1.515638664
PTPRCAP	resistance	4	-1.505083864
CD48	resistance	5	-1.45753427
SLC38A5	resistance	6	-1.389193786
HCLS1	resistance	7	-1.378080679
IRAG2	resistance	8	-1.295068027
IL2RG	resistance	9	-1.289513842
CD79A	resistance	10	-1.285402852
LSP1	resistance	11	-1.257760432
RHOH	resistance	12	-1.247113829
RAC2	resistance	13	-1.240068338
MAP4K1	resistance	14	-1.238585391
CORO1A	resistance	15	-1.23848928
SLC43A3	resistance	16	-1.220498972
RGS16	resistance	17	-1.184263319
IKZF1	resistance	18	-1.18381634
ARHGAP30	resistance	19	-1.179827192
IRF4	resistance	20	-1.157278634
ITGA4	resistance	21	-1.142345094
LIMD2	resistance	22	-1.140381588
CD38	resistance	23	-1.126904638
POU2AF1	resistance	24	-1.120117417
LEF1	resistance	25	-1.105022299
SEPTIN1	resistance	26	-1.099964438
WIPF1	resistance	27	-1.079575006
GYPC	resistance	28	-1.072850217
ELMO1	resistance	29	-1.059644971
CD79B	resistance	30	-1.04774294
