gene_symbol	direction	rank_in_direction	delta
GMFG	sensitivity	1	2.556683746
CD53	sensitivity	2	2.31523857
IL2RG	sensitivity	3	2.186327931
HCLS1	sensitivity	4	2.180077581
PTPN7	sensitivity	5	2.161440677
IKZF1	sensitivity	6	2.158461236
PTPRCAP	sensitivity	7	2.125492827
IRAG2	sensitivity	8	2.100531667
MZB1	sensitivity	9	2.089616918
LCP1	sensitivity	10	2.089042082
LAPTM5	sensitivity	11	2.07127987
RHOH	sensitivity	12	2.044321242
CORO1A	sensitivity	13	2.005568994
PTPRC	sensitivity	14	1.99377547
FERMT3	sensitivity	15	1.979836797
RCSD1	sensitivity	16	1.961974216
NCKAP1L	sensitivity	17	1.936624824
MFNG	sensitivity	18	1.913420176
CXCR4	sensitivity	19	1.900729306
CD52	sensitivity	20	1.892301586
SLC38A5	sensitivity	21	1.840559011
CD48	sensitivity	22	1.816805468
ARHGAP30	sensitivity	23	1.811487251
WAS	sensitivity	24	1.779465546
ATP2A3	sensitivity	25	1.770835639
CD79B	sensitivity	26	1.767634026
ELMO1	sensitivity	27	1.743640966
ARHGAP15	sensitivity	28	1.741179
ITGA4	sensitivity	29	1.721231822
SPN	sensitivity	30	1.71570418
KRT8	resistance	1	-2.717038199
GPRC5A	resistance	2	-2.609691551
KRT18	resistance	3	-2.502161255
C19ORF33	resistance	4	-2.439265166
MYOF	resistance	5	-2.395830984
ITGA3	resistance	6	-2.32523105
S100A6	resistance	7	-2.245040805
PLK2	resistance	8	-2.237426096
CAV1	resistance	9	-2.196931264
ANXA1	resistance	10	-2.19667308
EPHA2	resistance	11	-2.168690019
S100A16	resistance	12	-2.161148563
LAMB2	resistance	13	-2.151575531
PLS3	resistance	14	-2.150704886
KRT7	resistance	15	-2.123790121
EMP1	resistance	16	-2.120431719
KRT19	resistance	17	-2.082749048
TM4SF1	resistance	18	-2.071490477
TGFBI	resistance	19	-2.066757186
CAV2	resistance	20	-2.05562383
TINAGL1	resistance	21	-2.051515882
PTGR1	resistance	22	-2.043720765
PRSS23	resistance	23	-2.031882946
IGFBP3	resistance	24	-2.026620232
CD9	resistance	25	-2.026306436
TNFRSF12A	resistance	26	-2.015049642
DKK1	resistance	27	-2.000644742
S100A2	resistance	28	-1.988652971
SDC4	resistance	29	-1.987846301
CNN3	resistance	30	-1.984838154
