gene_symbol	direction	rank_in_direction	delta
S100A14	sensitivity	1	3.452446691
FXYD3	sensitivity	2	3.388817273
RAB25	sensitivity	3	3.333540538
ST14	sensitivity	4	2.931631087
EPCAM	sensitivity	5	2.906450425
MAL2	sensitivity	6	2.845151552
TACSTD2	sensitivity	7	2.814168291
GPX2	sensitivity	8	2.79857847
ELF3	sensitivity	9	2.770768585
CDH1	sensitivity	10	2.725034987
S100P	sensitivity	11	2.718919417
SPINT2	sensitivity	12	2.707294102
AGR2	sensitivity	13	2.69975775
S100A9	sensitivity	14	2.651059179
LAD1	sensitivity	15	2.546878842
LCN2	sensitivity	16	2.517648005
ESRP1	sensitivity	17	2.512791606
KRT5	sensitivity	18	2.495165162
CDH3	sensitivity	19	2.468594245
KRT17	sensitivity	20	2.431787555
KRT6A	sensitivity	21	2.427981726
CLDN4	sensitivity	22	2.422169056
SPINT1	sensitivity	23	2.389947557
IRF6	sensitivity	24	2.380630312
CLDN7	sensitivity	25	2.371185298
TRIM29	sensitivity	26	2.3348264
PRSS8	sensitivity	27	2.306602775
TSTD1	sensitivity	28	2.298228613
MPZL2	sensitivity	29	2.269894522
TMEM30B	sensitivity	30	2.24715838
VIM	resistance	1	-3.846778264
SPARC	resistance	2	-3.427880062
EMP3	resistance	3	-2.703966418
FSTL1	resistance	4	-2.630109085
LGALS1	resistance	5	-2.584123276
COL6A2	resistance	6	-2.465566601
SERPINE1	resistance	7	-2.341559866
LOXL2	resistance	8	-2.319662757
AXL	resistance	9	-2.252480702
FN1	resistance	10	-2.226365875
COL6A1	resistance	11	-2.211631025
NNMT	resistance	12	-2.209576162
FGFR1	resistance	13	-2.186771984
CCN2	resistance	14	-2.176457791
GNG11	resistance	15	-2.134218337
FHL1	resistance	16	-2.133703722
FKBP10	resistance	17	-2.130483628
PMP22	resistance	18	-2.122340748
CALD1	resistance	19	-2.097618404
SRPX	resistance	20	-2.038132279
COL1A2	resistance	21	-2.004257695
SYDE1	resistance	22	-1.970470091
KIRREL1	resistance	23	-1.936899323
VCAN	resistance	24	-1.935499371
DLC1	resistance	25	-1.920882112
DKK3	resistance	26	-1.905864426
TMEM158	resistance	27	-1.898641302
FBN1	resistance	28	-1.891662073
LOX	resistance	29	-1.890113845
SDC2	resistance	30	-1.874265121
