gene_symbol	direction	rank_in_direction	delta
HCLS1	sensitivity	1	2.069489721
GMFG	sensitivity	2	2.029041867
CD53	sensitivity	3	1.868761031
PTPN7	sensitivity	4	1.854781404
CORO1A	sensitivity	5	1.845636992
LAPTM5	sensitivity	6	1.75790097
IKZF1	sensitivity	7	1.721876369
PTPRC	sensitivity	8	1.708182609
FERMT3	sensitivity	9	1.691920162
NCKAP1L	sensitivity	10	1.655768768
IRAG2	sensitivity	11	1.62354939
WAS	sensitivity	12	1.622152298
LCP1	sensitivity	13	1.593051536
MFNG	sensitivity	14	1.591479343
SPN	sensitivity	15	1.585963958
CD48	sensitivity	16	1.56340661
ARHGAP30	sensitivity	17	1.562851365
ARHGAP15	sensitivity	18	1.537019519
INPP5D	sensitivity	19	1.509948982
PTPRCAP	sensitivity	20	1.5007988
MZB1	sensitivity	21	1.491586943
RCSD1	sensitivity	22	1.487547563
ARHGAP4	sensitivity	23	1.425166297
P2RY8	sensitivity	24	1.414007127
ICAM2	sensitivity	25	1.389347795
IL2RG	sensitivity	26	1.378947011
ELMO1	sensitivity	27	1.378628517
ARHGDIB	sensitivity	28	1.372409127
HLA-DRA	sensitivity	29	1.361472187
RHOH	sensitivity	30	1.359110109
KRT19	resistance	1	-2.588170323
THBS1	resistance	2	-2.570163542
TGFBI	resistance	3	-2.543615942
FN1	resistance	4	-2.540664544
KRT7	resistance	5	-2.428899796
CLDN4	resistance	6	-2.354136462
ITGA3	resistance	7	-2.214375008
PRSS23	resistance	8	-2.144983444
SDC4	resistance	9	-2.102490459
KRT8	resistance	10	-2.044272571
MAL2	resistance	11	-2.030444437
EPAS1	resistance	12	-2.00098941
EPCAM	resistance	13	-1.978627252
EFEMP1	resistance	14	-1.971841369
ADGRG1	resistance	15	-1.949057615
ABCC3	resistance	16	-1.919042924
NRP1	resistance	17	-1.918044814
CD24	resistance	18	-1.917492416
SPOCK1	resistance	19	-1.910877574
IGFBP3	resistance	20	-1.907369113
GPRC5A	resistance	21	-1.896429217
DSP	resistance	22	-1.895674182
ATP1B1	resistance	23	-1.863367244
SYTL2	resistance	24	-1.856244065
MLPH	resistance	25	-1.847764198
TNFRSF12A	resistance	26	-1.844145
COL1A1	resistance	27	-1.830200793
MYOF	resistance	28	-1.827059632
EPS8L2	resistance	29	-1.823536367
TPM1	resistance	30	-1.818829278
