gene_symbol	direction	rank_in_direction	delta
CORO1A	sensitivity	1	3.520116911
CD53	sensitivity	2	3.097326595
GMFG	sensitivity	3	2.9893607
HCLS1	sensitivity	4	2.938416258
PTPN7	sensitivity	5	2.888392907
MYB	sensitivity	6	2.831320083
PTPRC	sensitivity	7	2.817581505
ARHGAP4	sensitivity	8	2.779989004
NCKAP1L	sensitivity	9	2.778071736
IKZF1	sensitivity	10	2.753065173
IRAG2	sensitivity	11	2.730723027
ATP2A3	sensitivity	12	2.72988208
CXCR4	sensitivity	13	2.714829417
ELMO1	sensitivity	14	2.704181861
LCP1	sensitivity	15	2.682261361
PTPRCAP	sensitivity	16	2.67587382
SPN	sensitivity	17	2.654006199
RHOH	sensitivity	18	2.595442848
WAS	sensitivity	19	2.594366126
LAPTM5	sensitivity	20	2.571386333
MFNG	sensitivity	21	2.515233579
IL2RG	sensitivity	22	2.49970911
FERMT3	sensitivity	23	2.461027765
CD48	sensitivity	24	2.455469174
MAP4K1	sensitivity	25	2.448106924
MYO1G	sensitivity	26	2.432838674
INPP5D	sensitivity	27	2.430800537
ARHGAP30	sensitivity	28	2.388557341
LIMD2	sensitivity	29	2.376588499
RASGRP2	sensitivity	30	2.340388762
TGFBI	resistance	1	-4.219438975
TM4SF1	resistance	2	-4.145002539
THBS1	resistance	3	-4.137007275
CCN1	resistance	4	-4.102217159
CAV1	resistance	5	-3.935683677
S100A16	resistance	6	-3.929786483
MYOF	resistance	7	-3.80130847
GPRC5A	resistance	8	-3.721195275
ITGA3	resistance	9	-3.706060267
PRSS23	resistance	10	-3.702061437
CAV2	resistance	11	-3.671596252
TNFRSF12A	resistance	12	-3.634678759
EMP1	resistance	13	-3.617434248
S100A6	resistance	14	-3.51548127
KRT18	resistance	15	-3.459873003
C19ORF33	resistance	16	-3.450875935
KRT7	resistance	17	-3.442944252
KRT8	resistance	18	-3.431992039
AXL	resistance	19	-3.396819582
DKK1	resistance	20	-3.394214752
NNMT	resistance	21	-3.32296659
SERPINE1	resistance	22	-3.307795181
PLK2	resistance	23	-3.304617577
LAMB2	resistance	24	-3.276932318
FN1	resistance	25	-3.271633974
YAP1	resistance	26	-3.261060694
CAVIN1	resistance	27	-3.216500675
GPX8	resistance	28	-3.187270632
TINAGL1	resistance	29	-3.175201902
ITGB5	resistance	30	-3.167545889
