gene_symbol	direction	rank_in_direction	delta
HCLS1	sensitivity	1	3.610608282
CD53	sensitivity	2	3.434187005
GMFG	sensitivity	3	3.392097061
CORO1A	sensitivity	4	3.325561084
LAPTM5	sensitivity	5	3.310948136
IKZF1	sensitivity	6	3.095818025
IRAG2	sensitivity	7	3.069551517
PTPN7	sensitivity	8	3.036867646
RCSD1	sensitivity	9	2.963045702
MZB1	sensitivity	10	2.892201103
NCKAP1L	sensitivity	11	2.880751797
WAS	sensitivity	12	2.866254714
CD48	sensitivity	13	2.860594818
SPN	sensitivity	14	2.850345324
IL2RG	sensitivity	15	2.84403707
MFNG	sensitivity	16	2.84104056
MYB	sensitivity	17	2.81181029
PTPRC	sensitivity	18	2.803756419
LCP1	sensitivity	19	2.732929531
P2RY8	sensitivity	20	2.687672558
CXCR4	sensitivity	21	2.673581397
ARHGAP30	sensitivity	22	2.651184069
ELMO1	sensitivity	23	2.639733683
RHOH	sensitivity	24	2.62929577
SLC38A5	sensitivity	25	2.624914166
PTPRCAP	sensitivity	26	2.62225131
ARHGAP4	sensitivity	27	2.592808487
MAP4K1	sensitivity	28	2.581153042
ATP2A3	sensitivity	29	2.544777571
CD52	sensitivity	30	2.510107328
TM4SF1	resistance	1	-4.210072394
S100A16	resistance	2	-3.711711257
FN1	resistance	3	-3.677437502
KRT8	resistance	4	-3.663277957
CCN1	resistance	5	-3.614171379
KRT18	resistance	6	-3.600486412
PLK2	resistance	7	-3.60005114
PRSS23	resistance	8	-3.589847602
TGFBI	resistance	9	-3.548774587
THBS1	resistance	10	-3.461445607
TNFRSF12A	resistance	11	-3.448726416
KRT7	resistance	12	-3.442328505
MYOF	resistance	13	-3.439429721
ITGA3	resistance	14	-3.409777791
GPRC5A	resistance	15	-3.353558871
LAMB2	resistance	16	-3.348473632
LAMB1	resistance	17	-3.282662343
CAV1	resistance	18	-3.248720072
S100A6	resistance	19	-3.241220706
KRT19	resistance	20	-3.2074709
GNG12	resistance	21	-3.190523187
CCND1	resistance	22	-3.184025761
CNN3	resistance	23	-3.166062214
CALD1	resistance	24	-3.147145837
IGFBP3	resistance	25	-3.1470387
MLPH	resistance	26	-3.112188634
MET	resistance	27	-3.10070852
NNMT	resistance	28	-3.079539703
PLS3	resistance	29	-3.069717211
SERPINE1	resistance	30	-3.068944501
