gene_symbol	direction	rank_in_direction	delta
GMFG	sensitivity	1	2.708768593
CD53	sensitivity	2	2.496956455
CORO1A	sensitivity	3	2.479826971
PTPN7	sensitivity	4	2.423533282
IRAG2	sensitivity	5	2.419095244
HCLS1	sensitivity	6	2.412141163
IKZF1	sensitivity	7	2.315795271
PTPRC	sensitivity	8	2.304120585
LAPTM5	sensitivity	9	2.221457163
NCKAP1L	sensitivity	10	2.212011808
RCSD1	sensitivity	11	2.202569692
MZB1	sensitivity	12	2.189386931
CXCR4	sensitivity	13	2.143326747
PTPRCAP	sensitivity	14	2.140080844
MAP4K1	sensitivity	15	2.114547935
MFNG	sensitivity	16	2.110092524
CD48	sensitivity	17	2.080632495
RHOH	sensitivity	18	2.07351563
IL2RG	sensitivity	19	2.067533367
SPN	sensitivity	20	2.052884525
WAS	sensitivity	21	2.039938088
LIMD2	sensitivity	22	2.028966117
CD37	sensitivity	23	2.026638913
ARHGAP30	sensitivity	24	1.972254694
CD52	sensitivity	25	1.967010897
DOCK2	sensitivity	26	1.913727939
ARHGAP15	sensitivity	27	1.904050829
P2RY8	sensitivity	28	1.901976686
ARHGAP4	sensitivity	29	1.887554737
CD79B	sensitivity	30	1.876900682
GPRC5A	resistance	1	-3.475002682
KRT8	resistance	2	-3.265985266
KRT18	resistance	3	-3.262738399
S100A16	resistance	4	-3.09546783
KRT19	resistance	5	-2.882805033
TM4SF1	resistance	6	-2.882765667
LGALS3	resistance	7	-2.88058467
C19ORF33	resistance	8	-2.877340987
S100A6	resistance	9	-2.871395246
CLDN4	resistance	10	-2.842670334
KRT7	resistance	11	-2.791589765
ITGA3	resistance	12	-2.787978298
ALDH1A3	resistance	13	-2.772797006
MYOF	resistance	14	-2.764682888
EMP1	resistance	15	-2.753078228
TINAGL1	resistance	16	-2.737392402
FXYD3	resistance	17	-2.720416083
TACSTD2	resistance	18	-2.679680208
PLK2	resistance	19	-2.663846318
MAL2	resistance	20	-2.659017562
MET	resistance	21	-2.657543925
TNFRSF12A	resistance	22	-2.628450073
LTBR	resistance	23	-2.625652374
CAV1	resistance	24	-2.606759312
PERP	resistance	25	-2.566579499
PLPP2	resistance	26	-2.562098288
TSPAN1	resistance	27	-2.554222566
CLDN1	resistance	28	-2.547580644
GDF15	resistance	29	-2.524631502
ELF3	resistance	30	-2.51583565
