gene_symbol	direction	rank_in_direction	delta
LIF	sensitivity	1	1.069330366
DMKN	sensitivity	2	0.9668896139
LSR	sensitivity	3	0.9343411847
MYEOV	sensitivity	4	0.905421882
KRT19	sensitivity	5	0.8644361379
HMGA2	sensitivity	6	0.8610199723
SEPTIN10	sensitivity	7	0.8547447034
PLPP2	sensitivity	8	0.8314352034
C19ORF33	sensitivity	9	0.8288000411
S100A6	sensitivity	10	0.7632391556
TNFRSF12A	sensitivity	11	0.7566891254
DUSP6	sensitivity	12	0.7564234834
FKBP10	sensitivity	13	0.7410477222
TINAGL1	sensitivity	14	0.7337514796
LGALS1	sensitivity	15	0.7242208872
IER3	sensitivity	16	0.7140817387
RGL3	sensitivity	17	0.7109399489
HOXB9	sensitivity	18	0.7051559847
FOSL1	sensitivity	19	0.7004108814
GPRC5A	sensitivity	20	0.6967716773
YAP1	sensitivity	21	0.6901893631
KRT18	sensitivity	22	0.6882480365
ADGRG1	sensitivity	23	0.6816065837
GPAT3	sensitivity	24	0.6811179306
LAMB2	sensitivity	25	0.680782454
TNFRSF19	sensitivity	26	0.6790259946
PLK2	sensitivity	27	0.6740316784
KRT8	sensitivity	28	0.6727005257
FGFR4	sensitivity	29	0.6702089187
MDK	sensitivity	30	0.6700601172
BEX1	resistance	1	-0.8874503369
ZNF43	resistance	2	-0.7895479693
ARHGDIB	resistance	3	-0.7871091024
IFITM1	resistance	4	-0.7633759737
ITGA4	resistance	5	-0.7543826618
COCH	resistance	6	-0.7543799757
TCF4	resistance	7	-0.725280548
AEBP1	resistance	8	-0.6971462241
SLC38A5	resistance	9	-0.6869913363
UCHL1	resistance	10	-0.6807582672
GLUL	resistance	11	-0.6774125897
ELMO1	resistance	12	-0.6767423677
TXNIP	resistance	13	-0.6690574153
SPOCK2	resistance	14	-0.6542893019
MX2	resistance	15	-0.6537308313
CDKN2C	resistance	16	-0.6514179335
IFI16	resistance	17	-0.6497377039
IGFBP5	resistance	18	-0.6421281859
SPARC	resistance	19	-0.6418740686
FADS2	resistance	20	-0.6413389201
TRIM22	resistance	21	-0.6281828603
RHOH	resistance	22	-0.6205460448
BEX4	resistance	23	-0.6096737077
UCP2	resistance	24	-0.5886895145
TMT1A	resistance	25	-0.5881377842
CLGN	resistance	26	-0.5815576238
PTPRC	resistance	27	-0.5814207749
AIF1	resistance	28	-0.5794397657
PRSS21	resistance	29	-0.5759461753
ZNF738	resistance	30	-0.5723270354
