gene_symbol	direction	rank_in_direction	delta
GMFG	sensitivity	1	1.181159976
SPN	sensitivity	2	1.130407662
CORO1A	sensitivity	3	1.093127415
KCNAB2	sensitivity	4	1.089866954
PTPN7	sensitivity	5	1.087218071
CD53	sensitivity	6	1.069510347
MYB	sensitivity	7	1.061244087
AIF1	sensitivity	8	1.031114361
ARHGAP4	sensitivity	9	0.9965937825
SLC43A1	sensitivity	10	0.9868916541
LMO2	sensitivity	11	0.9670113654
FAM78A	sensitivity	12	0.9666655969
ITGA4	sensitivity	13	0.963028041
IKZF1	sensitivity	14	0.9603281556
WAS	sensitivity	15	0.9540870536
NREP	sensitivity	16	0.9310954129
NCKAP1L	sensitivity	17	0.9249632663
LAPTM5	sensitivity	18	0.9157857481
ARHGAP9	sensitivity	19	0.9106497619
CLEC11A	sensitivity	20	0.8826269639
SELPLG	sensitivity	21	0.8691015909
P2RY8	sensitivity	22	0.8649597095
PTPRC	sensitivity	23	0.8630597487
NRROS	sensitivity	24	0.8573016603
FERMT3	sensitivity	25	0.8562428182
ITGAL	sensitivity	26	0.8467072421
GYPC	sensitivity	27	0.8421887218
LAT2	sensitivity	28	0.8403079617
TUBA1A	sensitivity	29	0.8389616888
LEF1	sensitivity	30	0.8377015105
C19ORF33	resistance	1	-2.413198832
KRT7	resistance	2	-2.188454393
IGFBP3	resistance	3	-2.127308232
KRT19	resistance	4	-2.009350566
TINAGL1	resistance	5	-1.965580592
GPRC5A	resistance	6	-1.950844308
CLDN1	resistance	7	-1.877028062
CAV1	resistance	8	-1.868733173
LAMC2	resistance	9	-1.793885837
TGFBI	resistance	10	-1.783455135
KRT8	resistance	11	-1.7504651
CAV2	resistance	12	-1.743733524
TACSTD2	resistance	13	-1.725996842
PLK2	resistance	14	-1.723618313
LCN2	resistance	15	-1.708170862
MYOF	resistance	16	-1.70688447
SFN	resistance	17	-1.681634468
ELF3	resistance	18	-1.675106632
S100A2	resistance	19	-1.673093096
EPS8L2	resistance	20	-1.65927301
F3	resistance	21	-1.645439712
MAL2	resistance	22	-1.64046036
AP1M2	resistance	23	-1.61582806
S100A6	resistance	24	-1.607793956
CCND1	resistance	25	-1.599618139
S100A16	resistance	26	-1.596403353
ITGA3	resistance	27	-1.578956686
MYEOV	resistance	28	-1.570152115
MET	resistance	29	-1.563158566
LAMB3	resistance	30	-1.561441147
