gene_symbol	direction	rank_in_direction	delta
HCLS1	sensitivity	1	3.535471376
CORO1A	sensitivity	2	3.419333899
CD53	sensitivity	3	3.27649109
GMFG	sensitivity	4	3.081019047
LAPTM5	sensitivity	5	3.080508218
PTPN7	sensitivity	6	2.988707744
NCKAP1L	sensitivity	7	2.901060544
ELMO1	sensitivity	8	2.808733339
PTPRC	sensitivity	9	2.786564014
IKZF1	sensitivity	10	2.753269353
WAS	sensitivity	11	2.731004108
IRAG2	sensitivity	12	2.725204398
MFNG	sensitivity	13	2.693907377
SPN	sensitivity	14	2.676115486
LCP1	sensitivity	15	2.650113807
MYB	sensitivity	16	2.633519361
MAP4K1	sensitivity	17	2.507644059
PTPRCAP	sensitivity	18	2.485037897
FERMT3	sensitivity	19	2.472817368
ARHGAP30	sensitivity	20	2.449555392
CXCR4	sensitivity	21	2.438055904
RHOH	sensitivity	22	2.430110389
ARHGAP9	sensitivity	23	2.428154841
ARHGAP15	sensitivity	24	2.407638812
RCSD1	sensitivity	25	2.387986641
ARHGAP4	sensitivity	26	2.375286104
ATP2A3	sensitivity	27	2.355833146
BTK	sensitivity	28	2.350290916
SLC38A5	sensitivity	29	2.321259274
P2RY8	sensitivity	30	2.318131004
KRT8	resistance	1	-4.274937294
KRT19	resistance	2	-4.023480964
KRT18	resistance	3	-3.969294201
S100A16	resistance	4	-3.965493932
TM4SF1	resistance	5	-3.930957737
GPRC5A	resistance	6	-3.79004818
MYOF	resistance	7	-3.686230085
S100A6	resistance	8	-3.675410379
PRSS23	resistance	9	-3.640356319
ITGA3	resistance	10	-3.603969837
KRT7	resistance	11	-3.591871318
C19ORF33	resistance	12	-3.479981298
TGFBI	resistance	13	-3.41285916
CAV1	resistance	14	-3.391051484
LGALS3	resistance	15	-3.370872953
PLK2	resistance	16	-3.369971561
TNFRSF12A	resistance	17	-3.337996398
CAV2	resistance	18	-3.3320301
CCN1	resistance	19	-3.329729269
FN1	resistance	20	-3.274222992
MLPH	resistance	21	-3.26339927
EMP1	resistance	22	-3.245286115
LAMB2	resistance	23	-3.226420782
CLDN4	resistance	24	-3.220033391
THBS1	resistance	25	-3.212938368
DKK1	resistance	26	-3.196951151
SDC4	resistance	27	-3.158089184
YAP1	resistance	28	-3.130476523
S100A10	resistance	29	-3.120800952
ABCC3	resistance	30	-3.108856673
