gene_symbol	direction	rank_in_direction	delta
CD53	sensitivity	1	3.246845882
HCLS1	sensitivity	2	3.090964709
CORO1A	sensitivity	3	3.070568788
GMFG	sensitivity	4	3.032834196
MZB1	sensitivity	5	2.94296592
IRAG2	sensitivity	6	2.904185053
LAPTM5	sensitivity	7	2.901112879
MFNG	sensitivity	8	2.707811963
PTPN7	sensitivity	9	2.704250181
IKZF1	sensitivity	10	2.683904067
RCSD1	sensitivity	11	2.593679357
CD48	sensitivity	12	2.58536707
ARHGAP30	sensitivity	13	2.574466333
MAP4K1	sensitivity	14	2.536864318
LCP1	sensitivity	15	2.534947117
RHOH	sensitivity	16	2.518226772
ITGAL	sensitivity	17	2.514102064
CXCR4	sensitivity	18	2.510244752
P2RY8	sensitivity	19	2.467163311
WAS	sensitivity	20	2.432414684
RAC2	sensitivity	21	2.426630708
IL2RG	sensitivity	22	2.415970183
NCKAP1L	sensitivity	23	2.405040719
PTPRCAP	sensitivity	24	2.396574311
CD37	sensitivity	25	2.376070611
JCHAIN	sensitivity	26	2.372498819
PTPRC	sensitivity	27	2.32320495
SPN	sensitivity	28	2.262903694
FERMT3	sensitivity	29	2.258313831
ARHGDIB	sensitivity	30	2.241749845
S100A16	resistance	1	-3.254809494
TM4SF1	resistance	2	-3.114951221
KRT8	resistance	3	-3.099440963
KRT18	resistance	4	-2.990503853
LGALS3BP	resistance	5	-2.942699262
PRSS23	resistance	6	-2.885419234
GPRC5A	resistance	7	-2.83699023
MET	resistance	8	-2.832132455
MYOF	resistance	9	-2.829704993
PLK2	resistance	10	-2.774718572
S100A6	resistance	11	-2.764697679
ITGA3	resistance	12	-2.764638431
GNG12	resistance	13	-2.706189189
TNFRSF12A	resistance	14	-2.691734464
LAMB1	resistance	15	-2.639327374
TGFBI	resistance	16	-2.618722264
EPHA2	resistance	17	-2.601626359
CAV1	resistance	18	-2.578788603
FHL2	resistance	19	-2.522143059
LAMB2	resistance	20	-2.512797271
MGST1	resistance	21	-2.504806819
FOSL1	resistance	22	-2.486170515
EMP1	resistance	23	-2.463511094
CNN3	resistance	24	-2.434512701
LTBR	resistance	25	-2.418480929
ALDH7A1	resistance	26	-2.413323902
CAV2	resistance	27	-2.397674081
ANXA1	resistance	28	-2.366781253
KRT19	resistance	29	-2.360933135
PLS3	resistance	30	-2.360231946
