gene_symbol	direction	rank_in_direction	delta
CD24	sensitivity	1	1.215176025
COCH	sensitivity	2	1.175555991
NREP	sensitivity	3	1.148631255
TUBB2B	sensitivity	4	1.133563468
BEX1	sensitivity	5	1.120977701
RHOBTB3	sensitivity	6	1.049132052
UCHL1	sensitivity	7	1.002045571
CD74	sensitivity	8	0.9767912312
TENM3	sensitivity	9	0.9566080071
MEST	sensitivity	10	0.9311725198
KCNH2	sensitivity	11	0.9066698274
EEF1A2	sensitivity	12	0.9048825771
CDKN2A	sensitivity	13	0.8918558393
HBB	sensitivity	14	0.8639872441
GLCCI1	sensitivity	15	0.8611156473
MAGEA3	sensitivity	16	0.8567856423
KIF1A	sensitivity	17	0.8505387638
GTSF1	sensitivity	18	0.8482232092
FXYD6	sensitivity	19	0.8473246735
MAN1A1	sensitivity	20	0.8352435282
HLA-DRA	sensitivity	21	0.8256142294
IGFBPL1	sensitivity	22	0.8236591718
MDK	sensitivity	23	0.8199443027
FMNL1	sensitivity	24	0.8141598515
C4B	sensitivity	25	0.8139835251
GNAO1	sensitivity	26	0.8096322995
TMEM179	sensitivity	27	0.8093328656
KRT81	sensitivity	28	0.8089287437
C4A	sensitivity	29	0.8079351479
CKB	sensitivity	30	0.8028501632
S100A16	resistance	1	-1.329326765
EMP1	resistance	2	-1.190101799
NQO1	resistance	3	-1.138573464
MMP1	resistance	4	-1.135537953
S100A4	resistance	5	-1.074257367
TM4SF1	resistance	6	-1.071058979
FXYD3	resistance	7	-1.060013054
CDC42EP5	resistance	8	-1.048114923
LGALS3	resistance	9	-0.9726200169
MMP14	resistance	10	-0.9302899356
S100A6	resistance	11	-0.9018784583
TRIP6	resistance	12	-0.8995633229
CCND1	resistance	13	-0.8879732807
ECM1	resistance	14	-0.8426969838
CA2	resistance	15	-0.8287906719
CAVIN3	resistance	16	-0.8247610881
CAV1	resistance	17	-0.8191031013
ANXA1	resistance	18	-0.7996468402
ADIRF	resistance	19	-0.7802647384
C19ORF33	resistance	20	-0.7713323596
IFITM3	resistance	21	-0.7713237314
S100A14	resistance	22	-0.7664726305
S100A11	resistance	23	-0.7495633323
CEACAM6	resistance	24	-0.7345382864
SPRY4	resistance	25	-0.7322617813
ETV4	resistance	26	-0.7292705844
CRYAB	resistance	27	-0.7147060578
SPP1	resistance	28	-0.7136279643
GSN	resistance	29	-0.7063121754
S100A13	resistance	30	-0.6987614061
