gene_symbol	direction	rank_in_direction	mean_rank
CORO1A	sensitivity	1	1
CD53	sensitivity	2	2.5
HCLS1	sensitivity	3	2.5
GMFG	sensitivity	4	4
IRAG2	sensitivity	5	5
IKZF1	sensitivity	6	7
PTPN7	sensitivity	7	7
NCKAP1L	sensitivity	8	8.5
LAPTM5	sensitivity	9	10
LCP1	sensitivity	10	10
CD48	sensitivity	11	10.5
WAS	sensitivity	12	12
PTPRC	sensitivity	13	13.5
MZB1	sensitivity	14	15.5
RCSD1	sensitivity	15	15.5
CXCR4	sensitivity	16	16
ARHGAP30	sensitivity	17	16.5
SPN	sensitivity	18	17.5
MAP4K1	sensitivity	19	18.5
ELMO1	sensitivity	20	19.5
PTPRCAP	sensitivity	21	20.5
RHOH	sensitivity	22	20.5
IL2RG	sensitivity	23	23.5
MYB	sensitivity	24	25
P2RY8	sensitivity	25	26.5
ARHGAP15	sensitivity	26	28
SASH3	sensitivity	27	28
KRT8	resistance	1	1
KRT18	resistance	2	2
S100A16	resistance	3	3
KRT19	resistance	4	4.5
TM4SF1	resistance	5	4.5
GPRC5A	resistance	6	6
TGFBI	resistance	7	7.5
C19ORF33	resistance	8	8.5
MYOF	resistance	9	10
ITGA3	resistance	10	10.5
TNFRSF12A	resistance	11	10.5
CAV2	resistance	12	11
S100A6	resistance	13	13
PRSS23	resistance	14	14
CLDN4	resistance	15	15.5
CAV1	resistance	16	17
CCN1	resistance	17	18
THBS1	resistance	18	18.5
PLK2	resistance	19	19
KRT7	resistance	20	19.5
TINAGL1	resistance	21	21.5
MET	resistance	22	23
LTBR	resistance	23	24.5
SDC4	resistance	24	25
EMP1	resistance	25	26
LGALS3	resistance	26	27
