gene_symbol	direction	rank_in_direction	delta
CORO1A	sensitivity	1	3.880664513
CD53	sensitivity	2	3.496166637
GMFG	sensitivity	3	3.441647059
HCLS1	sensitivity	4	3.437407192
SLFN11	sensitivity	5	3.201325225
IRAG2	sensitivity	6	3.156576773
NCKAP1L	sensitivity	7	3.118117915
LAPTM5	sensitivity	8	3.078688563
PTPN7	sensitivity	9	3.045663748
IKZF1	sensitivity	10	2.946359861
LCP1	sensitivity	11	2.935488196
CXCR4	sensitivity	12	2.925357658
SPN	sensitivity	13	2.906807194
PTPRC	sensitivity	14	2.876606081
CD48	sensitivity	15	2.815591242
PTPRCAP	sensitivity	16	2.800761487
MZB1	sensitivity	17	2.765559025
RCSD1	sensitivity	18	2.757044589
MYB	sensitivity	19	2.756864536
RHOH	sensitivity	20	2.727286658
WAS	sensitivity	21	2.719702605
ARHGAP30	sensitivity	22	2.689440951
CD52	sensitivity	23	2.669704815
IL2RG	sensitivity	24	2.662163326
SASH3	sensitivity	25	2.636875107
CD79A	sensitivity	26	2.626423041
LIMD2	sensitivity	27	2.621714187
INPP5D	sensitivity	28	2.598770544
P2RY8	sensitivity	29	2.598108526
ARHGAP4	sensitivity	30	2.588703896
KRT8	resistance	1	-4.45476734
S100A16	resistance	2	-4.427298689
KRT18	resistance	3	-4.2046254
MYOF	resistance	4	-3.973961662
TM4SF1	resistance	5	-3.943862832
C19ORF33	resistance	6	-3.898167192
ITGA3	resistance	7	-3.849909842
GPRC5A	resistance	8	-3.842455457
PRSS23	resistance	9	-3.812733049
KRT7	resistance	10	-3.786263138
THBS1	resistance	11	-3.764628409
KRT19	resistance	12	-3.740443311
TNFRSF12A	resistance	13	-3.737883491
PLK2	resistance	14	-3.642346039
CCN1	resistance	15	-3.642033121
ABCC3	resistance	16	-3.601373447
CAV2	resistance	17	-3.539068758
LAMB2	resistance	18	-3.439400381
TGFBI	resistance	19	-3.407035325
CLDN4	resistance	20	-3.404561666
CAV1	resistance	21	-3.386647783
EMP1	resistance	22	-3.384652288
IGFBP3	resistance	23	-3.34939213
S100A6	resistance	24	-3.330230988
ANXA1	resistance	25	-3.307626967
LGALS3	resistance	26	-3.306492962
TINAGL1	resistance	27	-3.284479777
MET	resistance	28	-3.276591327
ITGB5	resistance	29	-3.271856057
SDC4	resistance	30	-3.243444868
