gene_symbol	direction	rank_in_direction	delta
DUSP6	sensitivity	1	2.49571748
FXYD5	sensitivity	2	2.485480401
ETV4	sensitivity	3	2.436983558
GDF15	sensitivity	4	2.423638212
S100B	sensitivity	5	2.371620283
SPRY2	sensitivity	6	2.295569024
CD74	sensitivity	7	2.262807655
S100A6	sensitivity	8	2.225285968
SPRY4	sensitivity	9	2.206696091
LYZ	sensitivity	10	2.174419601
CXCL8	sensitivity	11	2.168593398
TIMP1	sensitivity	12	2.115660499
CD44	sensitivity	13	2.096623276
PLAT	sensitivity	14	2.08092018
CXCL1	sensitivity	15	2.061898349
CD68	sensitivity	16	2.046566418
MBP	sensitivity	17	2.014932645
FOSL1	sensitivity	18	1.963777001
TNFRSF14	sensitivity	19	1.945644359
NPAS2	sensitivity	20	1.899814166
IER3	sensitivity	21	1.899434003
MIA	sensitivity	22	1.88946566
ITGA6	sensitivity	23	1.884148976
LGALS3	sensitivity	24	1.88127235
CAPN3	sensitivity	25	1.865325034
CAVIN3	sensitivity	26	1.852328846
CCL20	sensitivity	27	1.841919103
NT5E	sensitivity	28	1.824385834
KCNN4	sensitivity	29	1.809437539
SOX10	sensitivity	30	1.800803642
BASP1	resistance	1	-2.389981411
UCHL1	resistance	2	-2.296965384
CD24	resistance	3	-2.171529027
CPE	resistance	4	-2.039875508
PEG10	resistance	5	-2.006394954
IGFBP5	resistance	6	-1.982726456
PXDN	resistance	7	-1.852019067
EVL	resistance	8	-1.803815345
TCF4	resistance	9	-1.791789674
SAMD11	resistance	10	-1.726648573
LDOC1	resistance	11	-1.664656808
UCP2	resistance	12	-1.662974714
FBLN1	resistance	13	-1.647487245
EML1	resistance	14	-1.609055062
STC2	resistance	15	-1.571244774
FADS2	resistance	16	-1.554867103
TMEM25	resistance	17	-1.550692291
EFHD1	resistance	18	-1.549287631
HDGFL3	resistance	19	-1.539053991
ACKR3	resistance	20	-1.490426409
DPYSL5	resistance	21	-1.459220751
PBX1	resistance	22	-1.444124307
SDC2	resistance	23	-1.400891208
THY1	resistance	24	-1.397375455
PHGDH	resistance	25	-1.385848093
TP53I11	resistance	26	-1.372397944
PCSK1N	resistance	27	-1.371569802
GSTM3	resistance	28	-1.364660225
ZSCAN18	resistance	29	-1.362755269
FHL1	resistance	30	-1.340777247
