gene_symbol	direction	rank_in_direction	delta
HCLS1	sensitivity	1	4.155649531
CORO1A	sensitivity	2	3.939688608
CD53	sensitivity	3	3.839794085
GMFG	sensitivity	4	3.825453471
IKZF1	sensitivity	5	3.553063161
PTPN7	sensitivity	6	3.534215774
IRAG2	sensitivity	7	3.447520864
NCKAP1L	sensitivity	8	3.364584124
CD48	sensitivity	9	3.359141481
MZB1	sensitivity	10	3.331154218
CXCR4	sensitivity	11	3.321213947
WAS	sensitivity	12	3.315514608
LAPTM5	sensitivity	13	3.305542854
ELMO1	sensitivity	14	3.279030699
SPN	sensitivity	15	3.242180952
ARHGAP30	sensitivity	16	3.228261358
RCSD1	sensitivity	17	3.21044784
LCP1	sensitivity	18	3.153114701
MAP4K1	sensitivity	19	3.142841208
PTPRC	sensitivity	20	3.119296866
MYB	sensitivity	21	3.106717438
IL2RG	sensitivity	22	3.084541582
MFNG	sensitivity	23	3.049648701
RHOH	sensitivity	24	3.023538018
ARHGAP4	sensitivity	25	3.011446682
P2RY8	sensitivity	26	3.003875787
PTPRCAP	sensitivity	27	2.977820104
ARHGAP9	sensitivity	28	2.901764197
FERMT3	sensitivity	29	2.863540565
ARHGAP15	sensitivity	30	2.844166219
KRT8	resistance	1	-5.004719333
KRT18	resistance	2	-4.839786408
S100A16	resistance	3	-4.834253178
TGFBI	resistance	4	-4.811112071
TM4SF1	resistance	5	-4.801298579
GPRC5A	resistance	6	-4.665581191
KRT19	resistance	7	-4.413469536
PRSS23	resistance	8	-4.371510829
ITGA3	resistance	9	-4.340611044
PLK2	resistance	10	-4.335643525
MYOF	resistance	11	-4.334137904
THBS1	resistance	12	-4.288758659
S100A6	resistance	13	-4.287141202
CCN1	resistance	14	-4.277018716
C19ORF33	resistance	15	-4.220463287
TNFRSF12A	resistance	16	-4.170084409
CAV1	resistance	17	-4.158833516
IGFBP3	resistance	18	-4.075551912
SDC4	resistance	19	-4.019424626
LAMB2	resistance	20	-3.99518188
KRT7	resistance	21	-3.991241518
EMP1	resistance	22	-3.97328092
CAV2	resistance	23	-3.946138993
FN1	resistance	24	-3.895878133
DKK1	resistance	25	-3.864857895
LGALS3	resistance	26	-3.847304258
CAVIN1	resistance	27	-3.839889735
LAMB1	resistance	28	-3.802107851
ABCC3	resistance	29	-3.793563102
TGM2	resistance	30	-3.788317042
