gene_symbol	direction	rank_in_direction	delta
CORO1A	sensitivity	1	3.462175848
GMFG	sensitivity	2	3.33497904
HCLS1	sensitivity	3	3.075906415
CXCR4	sensitivity	4	3.063161776
CD53	sensitivity	5	3.059580428
MYB	sensitivity	6	3.016707537
PTPN7	sensitivity	7	2.909475492
IRAG2	sensitivity	8	2.872206321
NCKAP1L	sensitivity	9	2.871263234
IKZF1	sensitivity	10	2.851943924
ATP2A3	sensitivity	11	2.816521364
MZB1	sensitivity	12	2.742590371
WAS	sensitivity	13	2.732069329
SPN	sensitivity	14	2.708926013
ELMO1	sensitivity	15	2.701672534
MFNG	sensitivity	16	2.673742148
LAPTM5	sensitivity	17	2.671314999
ARHGAP30	sensitivity	18	2.664473495
MAP4K1	sensitivity	19	2.618169865
IL2RG	sensitivity	20	2.56848037
RHOH	sensitivity	21	2.542643794
FERMT3	sensitivity	22	2.517900851
CD48	sensitivity	23	2.516475185
PTPRC	sensitivity	24	2.50399259
ARHGAP4	sensitivity	25	2.486343941
SLC38A5	sensitivity	26	2.483712956
ITGAL	sensitivity	27	2.480391138
INPP5D	sensitivity	28	2.467043206
PTPRCAP	sensitivity	29	2.460925067
RCSD1	sensitivity	30	2.442703606
TM4SF1	resistance	1	-4.502605943
TGFBI	resistance	2	-4.331200341
CAV1	resistance	3	-4.295244245
CCN1	resistance	4	-4.243308868
S100A16	resistance	5	-4.152715178
MYOF	resistance	6	-4.084398466
EMP1	resistance	7	-3.953061932
S100A6	resistance	8	-3.940742752
CAV2	resistance	9	-3.928366792
PRSS23	resistance	10	-3.920274796
TNFRSF12A	resistance	11	-3.914237387
ITGA3	resistance	12	-3.841117293
THBS1	resistance	13	-3.797123074
ANXA1	resistance	14	-3.781204814
IGFBP3	resistance	15	-3.760244045
CAVIN1	resistance	16	-3.715266157
GPRC5A	resistance	17	-3.699336487
PLK2	resistance	18	-3.572268181
NT5E	resistance	19	-3.551752902
EPHA2	resistance	20	-3.551694084
GPX8	resistance	21	-3.517311007
DKK1	resistance	22	-3.51472231
FOSL1	resistance	23	-3.508075715
NNMT	resistance	24	-3.502621536
LAMB2	resistance	25	-3.500992342
P3H2	resistance	26	-3.447649029
KRT18	resistance	27	-3.429187598
AXL	resistance	28	-3.331289764
SDC4	resistance	29	-3.330059223
SERPINE1	resistance	30	-3.328036227
