gene_symbol	direction	rank_in_direction	delta
PTPRC	sensitivity	1	1.350877418
IKZF1	sensitivity	2	1.292188417
MYB	sensitivity	3	1.17348289
FLI1	sensitivity	4	1.17083797
WAS	sensitivity	5	1.161163664
INPP5D	sensitivity	6	1.084322299
BTK	sensitivity	7	1.051034307
LYL1	sensitivity	8	0.9998953101
CD79A	sensitivity	9	0.9913835781
LCP1	sensitivity	10	0.9611056955
RHOH	sensitivity	11	0.9560828921
HGF	sensitivity	12	0.9540132045
P2RY8	sensitivity	13	0.9538951348
CXCR4	sensitivity	14	0.9448812379
RAC2	sensitivity	15	0.9067856872
CD79B	sensitivity	16	0.874297255
CD74	sensitivity	17	0.8567829946
PRKCB	sensitivity	18	0.8562554042
SEPTIN6	sensitivity	19	0.8512327874
IRF8	sensitivity	20	0.8245792403
LMO2	sensitivity	21	0.8099630562
KLHL6	sensitivity	22	0.8012069831
TCL1A	sensitivity	23	0.7358942635
CBFA2T3	sensitivity	24	0.7203663972
SLFN11	sensitivity	25	0.7200607432
FES	sensitivity	26	0.708376707
NFE2	sensitivity	27	0.6915661737
POU2AF1	sensitivity	28	0.6599071123
BCL11A	sensitivity	29	0.6430248608
PIK3CG	sensitivity	30	0.6403353071
MAL2	resistance	1	-1.937920094
ELF3	resistance	2	-1.655948979
EPCAM	resistance	3	-1.619125083
CDH1	resistance	4	-1.59808816
PLK2	resistance	5	-1.58477682
TACSTD2	resistance	6	-1.515373327
PRSS8	resistance	7	-1.398125453
CCND1	resistance	8	-1.374486974
ALDH1A3	resistance	9	-1.351853186
SDC4	resistance	10	-1.337884919
ERBB3	resistance	11	-1.274920282
GRB7	resistance	12	-1.21147231
MET	resistance	13	-1.188007051
DDR1	resistance	14	-1.147704919
CAV1	resistance	15	-1.100694028
EGFR	resistance	16	-1.08911876
NQO1	resistance	17	-1.011939104
PTPRK	resistance	18	-0.9964902505
MST1R	resistance	19	-0.9936868009
KLF5	resistance	20	-0.9826438509
ABCC3	resistance	21	-0.9771638113
TUSC3	resistance	22	-0.9744411356
WWTR1	resistance	23	-0.9650964058
YAP1	resistance	24	-0.9598389949
ERBB2	resistance	25	-0.9462371038
ERRFI1	resistance	26	-0.8848289723
DKK1	resistance	27	-0.875994669
ID1	resistance	28	-0.8720762053
MLF1	resistance	29	-0.8590524838
FAT1	resistance	30	-0.8268573338
