gene_symbol	direction	rank_in_direction	delta
RHOH	sensitivity	1	1.381254511
CXCR4	sensitivity	2	1.30573789
IKZF1	sensitivity	3	1.302535459
LCP1	sensitivity	4	1.257012721
PTPRC	sensitivity	5	1.248324017
WAS	sensitivity	6	1.177515513
MYB	sensitivity	7	1.164377153
CD79A	sensitivity	8	1.144525032
INPP5D	sensitivity	9	1.109956199
LEF1	sensitivity	10	1.101402817
CD79B	sensitivity	11	1.099863697
POU2AF1	sensitivity	12	1.010025752
SEPTIN6	sensitivity	13	0.9962312507
P2RY8	sensitivity	14	0.977407598
BCL2	sensitivity	15	0.9579791879
BTK	sensitivity	16	0.9415642619
CBFA2T3	sensitivity	17	0.9241381603
TCL1A	sensitivity	18	0.9160766062
PRKCB	sensitivity	19	0.9061582148
IRF4	sensitivity	20	0.8970183847
VAV1	sensitivity	21	0.8939353851
KLHL6	sensitivity	22	0.8667274705
RAC2	sensitivity	23	0.8609769003
BTG2	sensitivity	24	0.8508029802
PAX5	sensitivity	25	0.8453027539
FLI1	sensitivity	26	0.8442518573
BCL11A	sensitivity	27	0.832010385
LYL1	sensitivity	28	0.7872687244
SLFN11	sensitivity	29	0.778190593
LCK	sensitivity	30	0.7705230862
CAV1	resistance	1	-1.743447887
ERRFI1	resistance	2	-1.416623451
PLK2	resistance	3	-1.403954642
NQO1	resistance	4	-1.396284636
ABCC3	resistance	5	-1.363119412
YAP1	resistance	6	-1.361802353
EGFR	resistance	7	-1.320680468
TACSTD2	resistance	8	-1.294017225
SDC4	resistance	9	-1.237121676
DKK1	resistance	10	-1.234657996
MET	resistance	11	-1.211393428
AXL	resistance	12	-1.201080342
FSTL1	resistance	13	-1.163254407
ELF3	resistance	14	-1.121969599
MAL2	resistance	15	-1.119848287
WWTR1	resistance	16	-1.081073678
DKK3	resistance	17	-1.035691103
EPCAM	resistance	18	-1.026955253
ID1	resistance	19	-1.005265016
AJUBA	resistance	20	-0.9956605474
CCND1	resistance	21	-0.9933755547
LMNA	resistance	22	-0.961898276
ALDH1A3	resistance	23	-0.946043665
NRG1	resistance	24	-0.9384591015
ERBB3	resistance	25	-0.9345502908
CD276	resistance	26	-0.9101886336
KLF4	resistance	27	-0.8832940502
EPAS1	resistance	28	-0.8757053723
PPARG	resistance	29	-0.8464015648
HFE	resistance	30	-0.8449962708
