gene_symbol	direction	rank_in_direction	delta
DKK1	sensitivity	1	1.183000598
FSTL1	sensitivity	2	0.7182825574
IL7R	sensitivity	3	0.6644288684
CD22	sensitivity	4	0.636849952
ALDH1A3	sensitivity	5	0.6185310171
COL5A1	sensitivity	6	0.6130604009
TLE4	sensitivity	7	0.6119634084
TCL1A	sensitivity	8	0.6058057168
COL1A1	sensitivity	9	0.5811739463
HLA-B	sensitivity	10	0.5496368369
HMGA2	sensitivity	11	0.5379524044
TLE1	sensitivity	12	0.533985145
ERBB2	sensitivity	13	0.5034773773
AXL	sensitivity	14	0.4738098101
CDH11	sensitivity	15	0.4490205132
CREB3L1	sensitivity	16	0.4463322964
PRSS8	sensitivity	17	0.4453159809
MAL2	sensitivity	18	0.4417528909
CARD11	sensitivity	19	0.4400456794
KLF4	sensitivity	20	0.4324899194
FSTL3	sensitivity	21	0.4313523812
HLA-C	sensitivity	22	0.4298642343
EPCAM	sensitivity	23	0.4293871645
EPHB4	sensitivity	24	0.4292379718
FOLR1	sensitivity	25	0.428772576
SFRP1	sensitivity	26	0.4247766171
SOX9	sensitivity	27	0.4205326452
GATA6	sensitivity	28	0.4172293174
YAP1	sensitivity	29	0.4169712324
TACSTD2	sensitivity	30	0.4072394937
PTPRC	resistance	1	-0.5957051267
TLE3	resistance	2	-0.5895394769
PTPN13	resistance	3	-0.5035033463
RHOH	resistance	4	-0.5012125778
LCP1	resistance	5	-0.475066602
RAC2	resistance	6	-0.4112252758
SH2D1A	resistance	7	-0.4099743408
PRF1	resistance	8	-0.4098944472
ETV1	resistance	9	-0.3894913157
PDK1	resistance	10	-0.3722841602
ABCB1	resistance	11	-0.3708623401
ALB	resistance	12	-0.3626281749
ITK	resistance	13	-0.3486113102
STAT5A	resistance	14	-0.3291872413
WAS	resistance	15	-0.3206356489
TYMS	resistance	16	-0.3163895222
SMARCA2	resistance	17	-0.3128719682
TUSC3	resistance	18	-0.3122341172
KDM5D	resistance	19	-0.307672981
ROBO1	resistance	20	-0.3050737265
CBFA2T3	resistance	21	-0.2994541646
GATA3	resistance	22	-0.2952091939
TENT5C	resistance	23	-0.2948464141
CACNA1D	resistance	24	-0.2830762467
BCL2	resistance	25	-0.2795156946
MYB	resistance	26	-0.2767049764
MLLT3	resistance	27	-0.2758408062
MTHFD2	resistance	28	-0.2746166209
HDAC4	resistance	29	-0.2741071992
RTEL1	resistance	30	-0.2735423487
