gene_symbol	direction	rank_in_direction	delta
CD74	sensitivity	1	2.398406625
IRF4	sensitivity	2	1.670196504
RAC2	sensitivity	3	1.556795673
CD79B	sensitivity	4	1.480368415
IKZF1	sensitivity	5	1.453079792
LEF1	sensitivity	6	1.393943378
CD79A	sensitivity	7	1.376610858
GAS7	sensitivity	8	1.363822549
MEF2C	sensitivity	9	1.361918764
LCP1	sensitivity	10	1.359636065
P2RY8	sensitivity	11	1.30902618
CD70	sensitivity	12	1.267835698
PTPRC	sensitivity	13	1.263741783
WAS	sensitivity	14	1.250218199
POU2AF1	sensitivity	15	1.235217812
FLI1	sensitivity	16	1.23071255
RHOH	sensitivity	17	1.210228986
SH2B3	sensitivity	18	1.205630328
CD22	sensitivity	19	1.202410976
CIITA	sensitivity	20	1.190253598
TCL1A	sensitivity	21	1.169077003
BTK	sensitivity	22	1.166431736
TNFRSF14	sensitivity	23	1.163514716
SOX10	sensitivity	24	1.149291222
PIK3CD	sensitivity	25	1.144156207
LYL1	sensitivity	26	1.078722581
NFATC2	sensitivity	27	1.076844933
CXCR4	sensitivity	28	1.031267471
INPP5D	sensitivity	29	1.030791028
KLHL6	sensitivity	30	1.02843519
TACSTD2	resistance	1	-2.282144003
ELF3	resistance	2	-2.133853425
MAL2	resistance	3	-2.067708811
CDH1	resistance	4	-1.990814302
EPCAM	resistance	5	-1.831511875
PRSS8	resistance	6	-1.800747187
ABCC3	resistance	7	-1.759038354
EGFR	resistance	8	-1.652843736
DDR1	resistance	9	-1.594318576
MUC1	resistance	10	-1.583661144
ID1	resistance	11	-1.528492376
COL1A1	resistance	12	-1.475467056
EPAS1	resistance	13	-1.439318535
NOTCH3	resistance	14	-1.3692322
GRB7	resistance	15	-1.354292192
FSTL1	resistance	16	-1.291542465
CBLC	resistance	17	-1.285405349
SDC4	resistance	18	-1.244900214
PBX1	resistance	19	-1.243516031
FOXA1	resistance	20	-1.209015926
MST1R	resistance	21	-1.198350397
KLF5	resistance	22	-1.192446216
UCHL1	resistance	23	-1.191696858
ACKR3	resistance	24	-1.187517184
PTPRK	resistance	25	-1.176014291
PTK7	resistance	26	-1.162874482
NFIB	resistance	27	-1.123219021
CD276	resistance	28	-1.102072603
ALDH2	resistance	29	-1.064484219
FAT1	resistance	30	-1.051850962
