gene_symbol	direction	rank_in_direction	delta
PTPRC	sensitivity	1	2.28262019
IKZF1	sensitivity	2	2.272283283
LCP1	sensitivity	3	2.188980677
CD74	sensitivity	4	2.181145736
WAS	sensitivity	5	2.091147771
RAC2	sensitivity	6	2.089045402
INPP5D	sensitivity	7	1.944943084
BTK	sensitivity	8	1.943969657
RHOH	sensitivity	9	1.927351702
MYB	sensitivity	10	1.923872134
FLI1	sensitivity	11	1.908113491
P2RY8	sensitivity	12	1.883262524
CD79B	sensitivity	13	1.829810202
CD79A	sensitivity	14	1.762097469
CXCR4	sensitivity	15	1.715060771
KLHL6	sensitivity	16	1.594598938
LYL1	sensitivity	17	1.563252819
VAV1	sensitivity	18	1.546399364
PRKCB	sensitivity	19	1.484162812
POU2AF1	sensitivity	20	1.47598584
TCL1A	sensitivity	21	1.308700033
CBFA2T3	sensitivity	22	1.300867596
IRF8	sensitivity	23	1.297971872
SEPTIN6	sensitivity	24	1.275404695
PIK3CG	sensitivity	25	1.270818631
MEF2C	sensitivity	26	1.259225204
PLCG2	sensitivity	27	1.23563675
IRF4	sensitivity	28	1.22210132
BCL11A	sensitivity	29	1.192629687
MS4A1	sensitivity	30	1.147470947
PLK2	resistance	1	-2.223998868
MET	resistance	2	-2.069778836
CCND1	resistance	3	-2.041464958
ID1	resistance	4	-2.035430197
NQO1	resistance	5	-2.033849906
SDC4	resistance	6	-2.00874307
DKK1	resistance	7	-1.921951897
CAV1	resistance	8	-1.907531828
ERRFI1	resistance	9	-1.905445858
ABCC3	resistance	10	-1.893394485
CD276	resistance	11	-1.88955838
MAL2	resistance	12	-1.864639298
YAP1	resistance	13	-1.859695644
FAT1	resistance	14	-1.839205383
EGFR	resistance	15	-1.832630424
WWTR1	resistance	16	-1.820827784
ALDH1A3	resistance	17	-1.790799978
ELF3	resistance	18	-1.727742388
DDR1	resistance	19	-1.690123551
CDH1	resistance	20	-1.639205896
FSTL1	resistance	21	-1.5864081
TUSC3	resistance	22	-1.536263101
AXL	resistance	23	-1.503261661
LMNA	resistance	24	-1.462220299
SMARCA1	resistance	25	-1.425438232
AJUBA	resistance	26	-1.414740746
EPCAM	resistance	27	-1.411626959
TACSTD2	resistance	28	-1.402964755
ERBB2	resistance	29	-1.378354929
PTPRK	resistance	30	-1.359167647
