gene_symbol	direction	rank_in_direction	delta
AXL	sensitivity	1	1.932152485
CAV1	sensitivity	2	1.840145527
EGFR	sensitivity	3	1.578977979
RAC2	sensitivity	4	1.537540202
TACSTD2	sensitivity	5	1.448323473
INHBA	sensitivity	6	1.390270471
FSTL1	sensitivity	7	1.381833399
BIRC3	sensitivity	8	1.304682775
PLK2	sensitivity	9	1.235939496
DKK1	sensitivity	10	1.202738963
HLA-B	sensitivity	11	1.189596644
DKK3	sensitivity	12	1.179605171
COL1A1	sensitivity	13	1.177834085
HMGA2	sensitivity	14	1.173286318
PAX8	sensitivity	15	1.135054803
ALDH1A3	sensitivity	16	1.121258899
TGFBR2	sensitivity	17	1.036905644
CD74	sensitivity	18	1.030836752
IL7R	sensitivity	19	1.028646459
SMAD3	sensitivity	20	0.9955060167
CARD11	sensitivity	21	0.9648110576
COL5A1	sensitivity	22	0.956931331
ETS1	sensitivity	23	0.9496618076
TNFAIP3	sensitivity	24	0.9388985959
IRF1	sensitivity	25	0.9335269183
SDC4	sensitivity	26	0.9258556582
AJUBA	sensitivity	27	0.9037583263
MSN	sensitivity	28	0.9004151263
RRAS2	sensitivity	29	0.8929802832
LTB	sensitivity	30	0.8852810599
TBX3	resistance	1	-1.042338543
ERBB3	resistance	2	-0.8896110904
SOX10	resistance	3	-0.8893636697
DUSP4	resistance	4	-0.8841921525
HEY1	resistance	5	-0.8552829283
POU3F2	resistance	6	-0.8303063329
AXIN2	resistance	7	-0.8048578312
ASCL1	resistance	8	-0.8012239461
DLL3	resistance	9	-0.7856257121
CACNA1D	resistance	10	-0.7622160876
SOX2	resistance	11	-0.7470214066
MSI2	resistance	12	-0.7269604512
TLE2	resistance	13	-0.671120111
SEPTIN5	resistance	14	-0.6658557834
ONECUT2	resistance	15	-0.6649482681
ETV1	resistance	16	-0.6543369164
ZNF703	resistance	17	-0.638256019
RET	resistance	18	-0.6359136686
FOXA1	resistance	19	-0.6153126207
LEF1	resistance	20	-0.614976948
PIK3R3	resistance	21	-0.6148826331
CILK1	resistance	22	-0.6131027628
HOXD13	resistance	23	-0.6099256319
PBX1	resistance	24	-0.609765432
MYB	resistance	25	-0.6071830214
CHN1	resistance	26	-0.6013743021
HOXB13	resistance	27	-0.5963646179
BAALC	resistance	28	-0.595263543
BCOR	resistance	29	-0.5923053763
FGFR4	resistance	30	-0.5769444409
