gene_symbol	direction	rank_in_direction	delta
IKZF1	sensitivity	1	1.587549355
POU2AF1	sensitivity	2	1.570041643
CD79B	sensitivity	3	1.555423586
CXCR4	sensitivity	4	1.549935389
CD79A	sensitivity	5	1.479347132
IRF4	sensitivity	6	1.429714214
WAS	sensitivity	7	1.394089266
RHOH	sensitivity	8	1.384171585
TCL1A	sensitivity	9	1.308058191
P2RY8	sensitivity	10	1.302737592
FLI1	sensitivity	11	1.233694153
SEPTIN6	sensitivity	12	1.161656338
LCP1	sensitivity	13	1.154251125
INPP5D	sensitivity	14	1.152553559
PTPRC	sensitivity	15	1.140935618
CD74	sensitivity	16	1.09937815
TNFRSF17	sensitivity	17	1.033783005
LEF1	sensitivity	18	1.026496595
KLHL6	sensitivity	19	1.008814909
MS4A1	sensitivity	20	1.008263513
DTX1	sensitivity	21	0.9817949014
BTK	sensitivity	22	0.9513534606
BCL2	sensitivity	23	0.9260546375
PAX5	sensitivity	24	0.9029170218
MYB	sensitivity	25	0.8753141145
CD19	sensitivity	26	0.8555201556
IKZF3	sensitivity	27	0.8492879671
CIITA	sensitivity	28	0.8344670004
CD22	sensitivity	29	0.7828547736
AFF3	sensitivity	30	0.7826359985
EPCAM	resistance	1	-1.471417173
ERRFI1	resistance	2	-1.461694109
SDC4	resistance	3	-1.437137633
CCND1	resistance	4	-1.425692194
NQO1	resistance	5	-1.391931938
ID1	resistance	6	-1.390434472
MAL2	resistance	7	-1.367919146
CD276	resistance	8	-1.328157117
YAP1	resistance	9	-1.312536406
ELF3	resistance	10	-1.308040189
HMGA2	resistance	11	-1.293101501
ABCC3	resistance	12	-1.278798898
LMNA	resistance	13	-1.229386451
MET	resistance	14	-1.169355542
ETV4	resistance	15	-1.15782967
AJUBA	resistance	16	-1.155265596
CDH1	resistance	17	-1.122332713
PLK2	resistance	18	-1.119566739
FAT1	resistance	19	-1.073969911
PRSS8	resistance	20	-1.018037066
ERBB3	resistance	21	-1.010165994
SOX9	resistance	22	-1.009375636
EGFR	resistance	23	-1.007240206
WWTR1	resistance	24	-1.001034203
PPARG	resistance	25	-1.000768817
KLF5	resistance	26	-0.9651063724
AXL	resistance	27	-0.9530042662
ALDH1A3	resistance	28	-0.8779592862
DDR1	resistance	29	-0.8676301015
TUSC3	resistance	30	-0.863641545
