gene_symbol	direction	rank_in_direction	delta
IKZF1	sensitivity	1	2.410398407
WAS	sensitivity	2	2.372471122
PTPRC	sensitivity	3	2.244012171
RHOH	sensitivity	4	2.171209473
POU2AF1	sensitivity	5	2.098532387
BTK	sensitivity	6	2.093438865
CD79B	sensitivity	7	2.077080603
MYB	sensitivity	8	2.0695437
CD79A	sensitivity	9	2.041097558
LCP1	sensitivity	10	2.020349215
P2RY8	sensitivity	11	1.975643248
INPP5D	sensitivity	12	1.930965565
CXCR4	sensitivity	13	1.916111434
SEPTIN6	sensitivity	14	1.86228706
IRF8	sensitivity	15	1.860678269
FLI1	sensitivity	16	1.74684224
TCL1A	sensitivity	17	1.734002248
VAV1	sensitivity	18	1.711040013
PRKCB	sensitivity	19	1.703853957
PLCG2	sensitivity	20	1.661015007
SYK	sensitivity	21	1.647411831
BCL11A	sensitivity	22	1.616106593
LYL1	sensitivity	23	1.595076832
KLHL6	sensitivity	24	1.5734311
CBFA2T3	sensitivity	25	1.56798454
RAC2	sensitivity	26	1.521837152
IKZF3	sensitivity	27	1.520714149
TNFRSF17	sensitivity	28	1.501043791
MS4A1	sensitivity	29	1.497310876
IRF4	sensitivity	30	1.494179266
PLK2	resistance	1	-3.213275892
SDC4	resistance	2	-2.554620166
DKK1	resistance	3	-2.536381772
CAV1	resistance	4	-2.509105258
YAP1	resistance	5	-2.500753598
NQO1	resistance	6	-2.462068056
MET	resistance	7	-2.431860126
ABCC3	resistance	8	-2.431027193
CCND1	resistance	9	-2.356797931
AXL	resistance	10	-2.243356879
FSTL1	resistance	11	-2.241044769
WWTR1	resistance	12	-2.237202293
ERRFI1	resistance	13	-2.183568623
MAL2	resistance	14	-2.17883868
LMNA	resistance	15	-2.144422946
FAT1	resistance	16	-2.143816444
ELF3	resistance	17	-2.047010183
ALDH1A3	resistance	18	-1.944016753
ERBB3	resistance	19	-1.869715792
CD276	resistance	20	-1.854450337
DDR1	resistance	21	-1.828080306
DKK3	resistance	22	-1.826010182
ERBB2	resistance	23	-1.825332708
EGFR	resistance	24	-1.822550451
ID1	resistance	25	-1.813788416
EPAS1	resistance	26	-1.804182583
RRAS	resistance	27	-1.643840469
CDH1	resistance	28	-1.626280322
SMARCA1	resistance	29	-1.618299165
TACSTD2	resistance	30	-1.592174029
