gene_symbol	direction	rank_in_direction	delta
IKZF1	sensitivity	1	2.597178788
LCP1	sensitivity	2	2.536404354
CXCR4	sensitivity	3	2.427145727
WAS	sensitivity	4	2.393063227
PTPRC	sensitivity	5	2.363960112
RHOH	sensitivity	6	2.205392053
MYB	sensitivity	7	2.197739719
INPP5D	sensitivity	8	2.180568301
P2RY8	sensitivity	9	2.145597084
FLI1	sensitivity	10	2.023348622
BTK	sensitivity	11	1.970202456
SEPTIN6	sensitivity	12	1.95216186
CD79B	sensitivity	13	1.893672701
CD79A	sensitivity	14	1.853022774
POU2AF1	sensitivity	15	1.75029303
KLHL6	sensitivity	16	1.724845151
PRKCB	sensitivity	17	1.708316947
SLFN11	sensitivity	18	1.661275853
BCL2	sensitivity	19	1.639777213
CBFA2T3	sensitivity	20	1.637197797
IRF4	sensitivity	21	1.634242325
VAV1	sensitivity	22	1.626196022
BCL11A	sensitivity	23	1.625384842
LYL1	sensitivity	24	1.623674255
RAC2	sensitivity	25	1.552829919
PIK3CG	sensitivity	26	1.516118869
BTG2	sensitivity	27	1.488785512
LEF1	sensitivity	28	1.488756304
CD74	sensitivity	29	1.475667358
LMO2	sensitivity	30	1.414017256
CAV1	resistance	1	-3.314699388
ABCC3	resistance	2	-3.292855472
MET	resistance	3	-3.042860136
PLK2	resistance	4	-3.021018423
SDC4	resistance	5	-2.907016214
DKK1	resistance	6	-2.890130917
CCND1	resistance	7	-2.804389754
YAP1	resistance	8	-2.755183145
MAL2	resistance	9	-2.719990575
ERRFI1	resistance	10	-2.674741288
NQO1	resistance	11	-2.597387164
AXL	resistance	12	-2.582258205
EGFR	resistance	13	-2.579379944
ELF3	resistance	14	-2.556974681
WWTR1	resistance	15	-2.463926096
EPCAM	resistance	16	-2.404108899
ALDH1A3	resistance	17	-2.399165504
TACSTD2	resistance	18	-2.381226328
KLF5	resistance	19	-2.250390812
LMNA	resistance	20	-2.192552238
PPARG	resistance	21	-2.15336787
AJUBA	resistance	22	-2.079172899
FAT1	resistance	23	-2.073759788
CDH1	resistance	24	-2.064367147
FSTL1	resistance	25	-1.939083285
ID1	resistance	26	-1.932809057
DDR1	resistance	27	-1.916957591
EPAS1	resistance	28	-1.906652557
ERBB3	resistance	29	-1.87401803
PTPRK	resistance	30	-1.863593644
