gene_symbol	direction	rank_in_direction	delta
TACSTD2	sensitivity	1	2.715624926
EPCAM	sensitivity	2	2.363671967
MAL2	sensitivity	3	2.306680509
ELF3	sensitivity	4	2.173471691
CDH1	sensitivity	5	2.020624376
PRSS8	sensitivity	6	1.844736111
MST1R	sensitivity	7	1.619179485
GRB7	sensitivity	8	1.534130745
PTPN6	sensitivity	9	1.317197226
CBLC	sensitivity	10	1.316549263
ALDH1A3	sensitivity	11	1.289824858
KLF5	sensitivity	12	1.256713254
TP63	sensitivity	13	1.151206679
ERBB3	sensitivity	14	1.094104638
EGFR	sensitivity	15	0.9380296912
FOXA1	sensitivity	16	0.9365274035
PTK6	sensitivity	17	0.8865544124
STAT6	sensitivity	18	0.8557935273
FGFR2	sensitivity	19	0.8286139423
PPARG	sensitivity	20	0.8171961938
RNF43	sensitivity	21	0.8057137254
SYK	sensitivity	22	0.7935227781
ERBB2	sensitivity	23	0.7920579408
FGFR3	sensitivity	24	0.781015566
IKZF2	sensitivity	25	0.7728243161
DDR1	sensitivity	26	0.7696152682
NOTCH3	sensitivity	27	0.7585437317
VTCN1	sensitivity	28	0.7331180229
ABCC3	sensitivity	29	0.7184938362
MECOM	sensitivity	30	0.7033237112
UCHL1	resistance	1	-1.63656774
DDR2	resistance	2	-1.519206553
CDH2	resistance	3	-1.313945184
CHN1	resistance	4	-1.256427663
FGFR1	resistance	5	-1.194591359
MLLT11	resistance	6	-1.097889674
COL5A1	resistance	7	-1.07968107
FYN	resistance	8	-1.041034532
SCG5	resistance	9	-1.012283669
CDKN2C	resistance	10	-0.9850418639
CDH11	resistance	11	-0.9814286331
FGF2	resistance	12	-0.9586278785
AKT3	resistance	13	-0.9298771211
PRRX1	resistance	14	-0.9176107675
MAGED1	resistance	15	-0.8940556339
CD70	resistance	16	-0.8851664727
GREM1	resistance	17	-0.8712698188
FSTL1	resistance	18	-0.8647515863
PDGFRB	resistance	19	-0.8574949744
BRSK1	resistance	20	-0.8310862892
DKK3	resistance	21	-0.8251744607
CREB3L1	resistance	22	-0.821144851
COL1A1	resistance	23	-0.783859105
LZTS1	resistance	24	-0.782976086
ETV1	resistance	25	-0.7405781229
ADGRA2	resistance	26	-0.7405436496
TBX3	resistance	27	-0.7343944784
KLF2	resistance	28	-0.7283266772
FGF5	resistance	29	-0.7258162748
BAALC	resistance	30	-0.7070774543
