gene_symbol	direction	rank_in_direction	delta
IKZF1	sensitivity	1	2.683900002
WAS	sensitivity	2	2.525858256
PTPRC	sensitivity	3	2.517085522
LCP1	sensitivity	4	2.498240836
RHOH	sensitivity	5	2.445164992
CXCR4	sensitivity	6	2.437945472
MYB	sensitivity	7	2.32808435
SLFN11	sensitivity	8	2.294722631
P2RY8	sensitivity	9	2.214719001
INPP5D	sensitivity	10	2.153236966
FLI1	sensitivity	11	2.11977315
BTK	sensitivity	12	2.042880161
SEPTIN6	sensitivity	13	2.012591199
CD79A	sensitivity	14	2.009433008
CD79B	sensitivity	15	1.897951992
POU2AF1	sensitivity	16	1.887547358
PRKCB	sensitivity	17	1.835984027
KLHL6	sensitivity	18	1.781198652
RAC2	sensitivity	19	1.706678776
BCL2	sensitivity	20	1.665959832
VAV1	sensitivity	21	1.641762438
CBFA2T3	sensitivity	22	1.632192428
LYL1	sensitivity	23	1.630249518
IRF4	sensitivity	24	1.563914669
PIK3CG	sensitivity	25	1.548940524
BCL11A	sensitivity	26	1.522320868
LEF1	sensitivity	27	1.508524301
MEF2C	sensitivity	28	1.4438311
TCL1A	sensitivity	29	1.436032626
DUSP2	sensitivity	30	1.41620191
PLK2	resistance	1	-3.164262602
MAL2	resistance	2	-3.065716603
MET	resistance	3	-2.927534686
CAV1	resistance	4	-2.921583545
SDC4	resistance	5	-2.896046224
ABCC3	resistance	6	-2.886726768
CCND1	resistance	7	-2.729436714
EPCAM	resistance	8	-2.679019295
YAP1	resistance	9	-2.667188753
NQO1	resistance	10	-2.596640761
DKK1	resistance	11	-2.567074971
EGFR	resistance	12	-2.55577081
ELF3	resistance	13	-2.548522393
ALDH1A3	resistance	14	-2.449271436
WWTR1	resistance	15	-2.433172254
ERRFI1	resistance	16	-2.423656616
CDH1	resistance	17	-2.421166795
TACSTD2	resistance	18	-2.379058571
AXL	resistance	19	-2.329286443
ERBB3	resistance	20	-2.148149515
KLF5	resistance	21	-2.147679554
LMNA	resistance	22	-2.116918416
AJUBA	resistance	23	-2.058774572
DDR1	resistance	24	-2.051682844
FAT1	resistance	25	-2.037368912
FSTL1	resistance	26	-2.015602999
DKK3	resistance	27	-2.012652478
CD276	resistance	28	-2.011162637
PPARG	resistance	29	-1.953742701
ID1	resistance	30	-1.939709917
