gene_symbol	direction	rank_in_direction	delta
MYB	sensitivity	1	1.830558006
INPP5D	sensitivity	2	1.815002971
IKZF1	sensitivity	3	1.767647922
PTPRC	sensitivity	4	1.704556893
WAS	sensitivity	5	1.67307081
RHOH	sensitivity	6	1.650911309
PTPN6	sensitivity	7	1.573183876
LCP1	sensitivity	8	1.525855713
RAC2	sensitivity	9	1.438063087
P2RY8	sensitivity	10	1.413571602
CXCR4	sensitivity	11	1.409686154
VAV1	sensitivity	12	1.406818789
BTK	sensitivity	13	1.403489051
CD79A	sensitivity	14	1.386994829
IRF8	sensitivity	15	1.348144337
BCL11A	sensitivity	16	1.344335479
SYK	sensitivity	17	1.318914705
CD79B	sensitivity	18	1.218178526
SEPTIN6	sensitivity	19	1.198121125
POU2AF1	sensitivity	20	1.19721437
PRKCB	sensitivity	21	1.169582582
KLHL6	sensitivity	22	1.163622114
BTG2	sensitivity	23	1.125705693
PLCG2	sensitivity	24	1.098959263
LYL1	sensitivity	25	1.091521908
PIK3CG	sensitivity	26	1.021800818
CD74	sensitivity	27	0.9762076672
MYC	sensitivity	28	0.9755852027
CCND2	sensitivity	29	0.9744940903
FLI1	sensitivity	30	0.9732276602
CAV1	resistance	1	-2.475992138
FSTL1	resistance	2	-2.430959251
PLK2	resistance	3	-2.262360165
WWTR1	resistance	4	-2.253838578
AXL	resistance	5	-2.194116425
CDH2	resistance	6	-2.171031966
DKK3	resistance	7	-2.157511773
DKK1	resistance	8	-2.089204612
MET	resistance	9	-1.980083329
SDC4	resistance	10	-1.866632809
ERRFI1	resistance	11	-1.861318628
YAP1	resistance	12	-1.69225461
COL1A1	resistance	13	-1.623896301
TUSC3	resistance	14	-1.620289309
SMARCA1	resistance	15	-1.591701875
CCND1	resistance	16	-1.59006439
CD276	resistance	17	-1.574519599
FGFR1	resistance	18	-1.51860972
NQO1	resistance	19	-1.477305408
COL5A1	resistance	20	-1.443004184
ALDH1A3	resistance	21	-1.432302888
FAT1	resistance	22	-1.382574435
LMNA	resistance	23	-1.375862422
SGK1	resistance	24	-1.34609098
UCHL1	resistance	25	-1.295916603
JUN	resistance	26	-1.268212712
ABCC3	resistance	27	-1.266883322
IL6ST	resistance	28	-1.265980887
PTPN14	resistance	29	-1.263903974
PTPRK	resistance	30	-1.259031852
