gene_symbol	direction	rank_in_direction	delta
CXCR4	sensitivity	1	1.443922996
MYB	sensitivity	2	1.000401976
IKZF1	sensitivity	3	0.9794704163
P2RY8	sensitivity	4	0.9315824566
RHOH	sensitivity	5	0.8999784361
INPP5D	sensitivity	6	0.7980584321
PTPRC	sensitivity	7	0.7917254506
WAS	sensitivity	8	0.7560708817
BCL2	sensitivity	9	0.7489079645
CARD11	sensitivity	10	0.7416620932
VAV1	sensitivity	11	0.7332004084
TP53	sensitivity	12	0.7299060256
LMO2	sensitivity	13	0.7261455045
STAT5A	sensitivity	14	0.7184264284
LCK	sensitivity	15	0.715011526
LYL1	sensitivity	16	0.7079305256
LCP1	sensitivity	17	0.6971886369
PRKCB	sensitivity	18	0.6673787306
AFF3	sensitivity	19	0.6673156029
BCL11A	sensitivity	20	0.6665573048
ZFP36L2	sensitivity	21	0.6609366584
CD79A	sensitivity	22	0.6248165857
CBFA2T3	sensitivity	23	0.6106625823
KLHL6	sensitivity	24	0.6014447827
ACKR3	sensitivity	25	0.6008593949
BTK	sensitivity	26	0.5967545811
DUSP2	sensitivity	27	0.5875661191
WT1	sensitivity	28	0.5846161104
TENT5C	sensitivity	29	0.5719079624
NOTCH3	sensitivity	30	0.5686672911
CAV1	resistance	1	-1.48311336
MET	resistance	2	-1.1749002
SGK1	resistance	3	-1.116886554
ERRFI1	resistance	4	-1.113631339
ERBB3	resistance	5	-0.9369510861
ALDH1A3	resistance	6	-0.9319914686
CDKN2A	resistance	7	-0.9037972001
CDH1	resistance	8	-0.8550069772
SDC4	resistance	9	-0.7966414993
DKK1	resistance	10	-0.7862212164
LMNA	resistance	11	-0.721070855
WWTR1	resistance	12	-0.7179408408
TUSC3	resistance	13	-0.7166897606
YAP1	resistance	14	-0.7039222118
EGFR	resistance	15	-0.6449984148
MLF1	resistance	16	-0.6386195273
MAP3K13	resistance	17	-0.6320151428
CD276	resistance	18	-0.6291383429
SMAD3	resistance	19	-0.6284353653
UCHL1	resistance	20	-0.6017091438
NQO1	resistance	21	-0.5965237836
KLF4	resistance	22	-0.5926676504
EXT1	resistance	23	-0.5812039976
KLF5	resistance	24	-0.5811311018
CTNNA1	resistance	25	-0.5808735921
DKK3	resistance	26	-0.5806148651
HOXA3	resistance	27	-0.5803924842
ARHGEF12	resistance	28	-0.5710449009
PPARG	resistance	29	-0.5657259135
MST1R	resistance	30	-0.5645035115
