gene_symbol	direction	rank_in_direction	delta
TACSTD2	sensitivity	1	2.04802051
MAL2	sensitivity	2	1.8193345
EPCAM	sensitivity	3	1.807819853
CDH1	sensitivity	4	1.661204301
ELF3	sensitivity	5	1.612125805
PRSS8	sensitivity	6	1.429852187
GRB7	sensitivity	7	1.331717984
MST1R	sensitivity	8	1.172710977
PTPN6	sensitivity	9	1.122416928
TP63	sensitivity	10	1.104132256
ERBB3	sensitivity	11	1.075481505
CBLC	sensitivity	12	1.009619501
KLF5	sensitivity	13	0.8498758281
RNF43	sensitivity	14	0.8005867118
SYK	sensitivity	15	0.7744928369
FGFR3	sensitivity	16	0.7236356722
DDR1	sensitivity	17	0.7166697916
FOXA1	sensitivity	18	0.6700210707
FGFR2	sensitivity	19	0.6475546937
NOTCH3	sensitivity	20	0.6132822725
BCL11A	sensitivity	21	0.6087194471
PTK6	sensitivity	22	0.608290866
BTG2	sensitivity	23	0.6077527183
VTCN1	sensitivity	24	0.5850576065
MYB	sensitivity	25	0.5815457244
VAV1	sensitivity	26	0.5591631031
ERBB2	sensitivity	27	0.5501036929
MOB3B	sensitivity	28	0.5475897523
SERPINB3	sensitivity	29	0.5422836584
RAC2	sensitivity	30	0.5312306449
CDH2	resistance	1	-1.155914383
FGFR1	resistance	2	-1.155204555
AXL	resistance	3	-1.119476294
DDR2	resistance	4	-1.055528239
FSTL1	resistance	5	-1.029478442
FGF2	resistance	6	-0.9895614272
CREB3L1	resistance	7	-0.94590538
COL5A1	resistance	8	-0.9272348079
CHN1	resistance	9	-0.9067078597
DKK3	resistance	10	-0.8944835508
CD70	resistance	11	-0.892226723
UCHL1	resistance	12	-0.87157584
COL1A1	resistance	13	-0.8524777065
ETV1	resistance	14	-0.8350577303
SCG5	resistance	15	-0.7916702395
PDGFRB	resistance	16	-0.7865257308
PRRX1	resistance	17	-0.769806484
FGF5	resistance	18	-0.7490870722
AKT3	resistance	19	-0.7397349674
GREM1	resistance	20	-0.7303450364
SMARCA1	resistance	21	-0.7125835493
CDH11	resistance	22	-0.7100711409
CSF1	resistance	23	-0.7030830852
MLLT11	resistance	24	-0.6988183337
FYN	resistance	25	-0.6464854199
LIFR	resistance	26	-0.6097538602
ETV5	resistance	27	-0.5844309432
ERRFI1	resistance	28	-0.5843640238
MSN	resistance	29	-0.5792649575
FOXF1	resistance	30	-0.5724883472
