gene_symbol	direction	rank_in_direction	delta
SLFN11	sensitivity	1	2.60804914
IKZF1	sensitivity	2	2.561296475
PTPRC	sensitivity	3	2.54975977
LCP1	sensitivity	4	2.447169964
INPP5D	sensitivity	5	2.414902146
WAS	sensitivity	6	2.390400657
MYB	sensitivity	7	2.326292065
RHOH	sensitivity	8	2.322649988
CXCR4	sensitivity	9	2.212792481
P2RY8	sensitivity	10	2.111101389
BTK	sensitivity	11	2.021366814
CD79A	sensitivity	12	1.983098756
CD79B	sensitivity	13	1.963347472
SEPTIN6	sensitivity	14	1.811747573
POU2AF1	sensitivity	15	1.777761962
PRKCB	sensitivity	16	1.746991656
FLI1	sensitivity	17	1.723641311
KLHL6	sensitivity	18	1.708450539
RAC2	sensitivity	19	1.706716863
CD74	sensitivity	20	1.679657569
LYL1	sensitivity	21	1.654249824
CBFA2T3	sensitivity	22	1.612989681
VAV1	sensitivity	23	1.602867426
BCL11A	sensitivity	24	1.472147349
PIK3CG	sensitivity	25	1.465694464
BCL2	sensitivity	26	1.451339849
PLCG2	sensitivity	27	1.428199416
TCL1A	sensitivity	28	1.412628202
IRF4	sensitivity	29	1.373172225
LMO2	sensitivity	30	1.359301783
PLK2	resistance	1	-3.077717291
CAV1	resistance	2	-3.075416362
DKK1	resistance	3	-3.001216308
SDC4	resistance	4	-2.780380019
CCND1	resistance	5	-2.764315916
YAP1	resistance	6	-2.696535526
FSTL1	resistance	7	-2.588648033
ABCC3	resistance	8	-2.582731794
MET	resistance	9	-2.557531363
AXL	resistance	10	-2.545508525
ERRFI1	resistance	11	-2.474879554
NQO1	resistance	12	-2.472324349
EGFR	resistance	13	-2.461746487
WWTR1	resistance	14	-2.400376062
ALDH1A3	resistance	15	-2.385278982
MAL2	resistance	16	-2.330751277
LMNA	resistance	17	-2.092846727
CD276	resistance	18	-2.091923471
DKK3	resistance	19	-2.064766923
FAT1	resistance	20	-2.03712999
TACSTD2	resistance	21	-2.008437112
ID1	resistance	22	-2.001565761
AJUBA	resistance	23	-1.991197548
CDH1	resistance	24	-1.932571849
ELF3	resistance	25	-1.921530224
DDR1	resistance	26	-1.900331782
COL1A1	resistance	27	-1.886005147
EPCAM	resistance	28	-1.830864276
PTPRK	resistance	29	-1.814106132
KLF5	resistance	30	-1.806784332
