gene_symbol	direction	rank_in_direction	delta
YAP1	sensitivity	1	1.05830162
DKK1	sensitivity	2	0.9602491327
SDC4	sensitivity	3	0.9109693607
PLK2	sensitivity	4	0.9072631048
AXL	sensitivity	5	0.897014382
ID1	sensitivity	6	0.8514431504
AJUBA	sensitivity	7	0.8490504889
CAV1	sensitivity	8	0.8196719566
ERRFI1	sensitivity	9	0.796408327
NQO1	sensitivity	10	0.7900571249
CD276	sensitivity	11	0.7840719182
HMGA2	sensitivity	12	0.7702725407
NRG1	sensitivity	13	0.7466884307
FAT1	sensitivity	14	0.7428794844
FGFR1	sensitivity	15	0.720634544
FGFR4	sensitivity	16	0.700442704
FSTL1	sensitivity	17	0.6784740978
EPHB4	sensitivity	18	0.6642415966
APOBEC3B	sensitivity	19	0.6632889385
LMNA	sensitivity	20	0.6606330724
CCND1	sensitivity	21	0.6501678412
LATS2	sensitivity	22	0.6474785086
FSTL3	sensitivity	23	0.6369395853
TGFBR2	sensitivity	24	0.6229201827
EGFR	sensitivity	25	0.6094984375
RRAS	sensitivity	26	0.6062488094
ALDH2	sensitivity	27	0.6041509629
EPCAM	sensitivity	28	0.5998805807
MET	sensitivity	29	0.5958830254
PTPN14	sensitivity	30	0.5950022962
CXCR4	resistance	1	-0.872578123
LCP1	resistance	2	-0.8621818188
CD79A	resistance	3	-0.8564664064
IKZF1	resistance	4	-0.8221184373
RHOH	resistance	5	-0.8107679796
FYN	resistance	6	-0.8037736711
BTG2	resistance	7	-0.7664969596
POU2AF1	resistance	8	-0.7619469147
RAC2	resistance	9	-0.7562315656
DTX1	resistance	10	-0.7224938026
IRF4	resistance	11	-0.7216307997
LCK	resistance	12	-0.700601994
CD79B	resistance	13	-0.6916270216
TNFRSF14	resistance	14	-0.6841271591
P2RY8	resistance	15	-0.672477673
PTPRC	resistance	16	-0.6646453494
TNFRSF17	resistance	17	-0.6560072824
WAS	resistance	18	-0.6546814363
BCL2	resistance	19	-0.6488798016
CARD11	resistance	20	-0.6443176379
LEF1	resistance	21	-0.6271622742
FLI1	resistance	22	-0.618439244
CD74	resistance	23	-0.605160611
MYB	resistance	24	-0.5958579908
IKZF3	resistance	25	-0.5897860404
IL21R	resistance	26	-0.5828261721
PAX5	resistance	27	-0.5461028726
BCL11A	resistance	28	-0.533621634
SEPTIN6	resistance	29	-0.5248130137
PRKCB	resistance	30	-0.5127516201
