gene_symbol	direction	rank_in_direction	delta
IKZF1	sensitivity	1	1.809297491
LCP1	sensitivity	2	1.782846077
RHOH	sensitivity	3	1.685051068
PTPRC	sensitivity	4	1.684410382
CXCR4	sensitivity	5	1.566678772
WAS	sensitivity	6	1.528230597
CD79B	sensitivity	7	1.3869016
INPP5D	sensitivity	8	1.351414198
FLI1	sensitivity	9	1.350488738
P2RY8	sensitivity	10	1.322216984
MYB	sensitivity	11	1.316221914
RAC2	sensitivity	12	1.310014282
KLHL6	sensitivity	13	1.256143596
CD79A	sensitivity	14	1.193544959
POU2AF1	sensitivity	15	1.193324784
BTK	sensitivity	16	1.123621805
SEPTIN6	sensitivity	17	1.099175965
CBFA2T3	sensitivity	18	1.086282602
LEF1	sensitivity	19	1.003277507
LTB	sensitivity	20	1.001640069
PRKCB	sensitivity	21	0.9991156873
DTX1	sensitivity	22	0.9893894066
LYL1	sensitivity	23	0.9361278724
VAV1	sensitivity	24	0.9297556551
PIK3CG	sensitivity	25	0.921116707
TCL1A	sensitivity	26	0.9152522625
IRF4	sensitivity	27	0.8942832463
IKZF3	sensitivity	28	0.8924654028
IL21R	sensitivity	29	0.8721620893
MEF2C	sensitivity	30	0.8479891859
CAV1	resistance	1	-1.932852903
PLK2	resistance	2	-1.915421206
DKK1	resistance	3	-1.797949051
CCND1	resistance	4	-1.779375735
ALDH1A3	resistance	5	-1.683525832
SDC4	resistance	6	-1.664648422
NQO1	resistance	7	-1.650504373
MET	resistance	8	-1.608707312
YAP1	resistance	9	-1.590399977
ELF3	resistance	10	-1.557314478
MAL2	resistance	11	-1.547528332
TACSTD2	resistance	12	-1.533489928
FSTL1	resistance	13	-1.521052853
KLF5	resistance	14	-1.464488129
ABCC3	resistance	15	-1.463863064
WWTR1	resistance	16	-1.428145878
CD276	resistance	17	-1.422949829
EGFR	resistance	18	-1.420039428
EPCAM	resistance	19	-1.415814662
ERRFI1	resistance	20	-1.394597402
LMNA	resistance	21	-1.361171607
DDR1	resistance	22	-1.345796187
CDH1	resistance	23	-1.31636924
ID1	resistance	24	-1.283667476
AXL	resistance	25	-1.2779615
DKK3	resistance	26	-1.258017297
PPARG	resistance	27	-1.185293219
FAT1	resistance	28	-1.169433851
ERBB3	resistance	29	-1.152226409
HMGA2	resistance	30	-1.096312084
