gene_symbol	direction	rank_in_direction	delta
EPCAM	sensitivity	1	1.966964082
CDH1	sensitivity	2	1.912069833
ELF3	sensitivity	3	1.856762856
TACSTD2	sensitivity	4	1.838380615
MAL2	sensitivity	5	1.803913464
PRSS8	sensitivity	6	1.645497823
PTPN6	sensitivity	7	1.51181857
GRB7	sensitivity	8	1.372940209
CBLC	sensitivity	9	1.315810067
TP63	sensitivity	10	1.297827287
SYK	sensitivity	11	1.238126152
MYB	sensitivity	12	1.134623673
MST1R	sensitivity	13	1.075237335
BTG2	sensitivity	14	1.06829957
ERBB3	sensitivity	15	0.9677424146
RNF43	sensitivity	16	0.9371234519
BCL11A	sensitivity	17	0.8806133501
FGFR3	sensitivity	18	0.8453706354
CEBPA	sensitivity	19	0.8428731992
LCP1	sensitivity	20	0.8257428392
IKZF1	sensitivity	21	0.8053011322
VTCN1	sensitivity	22	0.7958333598
FOXA1	sensitivity	23	0.7811280321
VAV1	sensitivity	24	0.7676055438
PTPRC	sensitivity	25	0.7358240949
CXCR4	sensitivity	26	0.7354843681
KLF5	sensitivity	27	0.7337593915
RHOH	sensitivity	28	0.7320396969
NOTCH3	sensitivity	29	0.7307380371
IKZF2	sensitivity	30	0.719948775
FSTL1	resistance	1	-2.068741425
AXL	resistance	2	-2.036049903
FGFR1	resistance	3	-1.686033433
CDH2	resistance	4	-1.629718335
CAV1	resistance	5	-1.616684986
DKK3	resistance	6	-1.587829269
WWTR1	resistance	7	-1.407646153
FGF2	resistance	8	-1.391131577
ERRFI1	resistance	9	-1.314769802
PLK2	resistance	10	-1.288708435
DDR2	resistance	11	-1.261563578
CD70	resistance	12	-1.218267374
FGF5	resistance	13	-1.206498661
ETV5	resistance	14	-1.170939113
AKT3	resistance	15	-1.161156303
SMARCA1	resistance	16	-1.155296256
HMGA2	resistance	17	-1.142548578
ETV1	resistance	18	-1.138213071
COL5A1	resistance	19	-1.114825925
CSF1	resistance	20	-1.112107444
MSN	resistance	21	-1.079761774
SH2B3	resistance	22	-1.057149111
ETS1	resistance	23	-1.056138957
IL6ST	resistance	24	-1.047979099
DKK1	resistance	25	-1.043337407
SGK1	resistance	26	-1.037181883
CHN1	resistance	27	-1.028247423
TUSC3	resistance	28	-1.01913787
CREB3L1	resistance	29	-1.004058993
PRRX1	resistance	30	-0.9870795745
