gene_symbol	direction	rank_in_direction	delta
IKZF1	sensitivity	1	1.535710743
PTPRC	sensitivity	2	1.527978108
LCP1	sensitivity	3	1.488576738
WAS	sensitivity	4	1.436982771
INPP5D	sensitivity	5	1.317325461
RHOH	sensitivity	6	1.251453124
RAC2	sensitivity	7	1.226713071
P2RY8	sensitivity	8	1.213144515
BTK	sensitivity	9	1.158238862
FLI1	sensitivity	10	1.142630383
CD79B	sensitivity	11	1.115544223
MYB	sensitivity	12	1.08902676
SEPTIN6	sensitivity	13	1.084604752
CXCR4	sensitivity	14	1.061314852
KLHL6	sensitivity	15	1.03559016
LYL1	sensitivity	16	1.003673772
MYC	sensitivity	17	0.9895145144
VAV1	sensitivity	18	0.9600101649
CD74	sensitivity	19	0.9442942473
PIK3CG	sensitivity	20	0.9419508882
CD79A	sensitivity	21	0.9411972683
POU2AF1	sensitivity	22	0.93185867
PRKCB	sensitivity	23	0.9179067943
IRF4	sensitivity	24	0.8880937711
TCL1A	sensitivity	25	0.8533172954
DUSP2	sensitivity	26	0.8182575777
PLCG2	sensitivity	27	0.817041338
TNFRSF17	sensitivity	28	0.7924505494
CBFA2T3	sensitivity	29	0.7867176432
MS4A1	sensitivity	30	0.7457798951
SDC4	resistance	1	-1.761196653
MAL2	resistance	2	-1.739057754
COL1A1	resistance	3	-1.685443717
EPCAM	resistance	4	-1.654988371
PLK2	resistance	5	-1.586748447
ABCC3	resistance	6	-1.568407231
EPAS1	resistance	7	-1.536314552
ELF3	resistance	8	-1.53205949
CCND1	resistance	9	-1.488489196
DKK1	resistance	10	-1.479663999
CDH1	resistance	11	-1.470224096
DDR1	resistance	12	-1.409384364
ID1	resistance	13	-1.371893454
DKK3	resistance	14	-1.370828974
CD276	resistance	15	-1.368129406
MET	resistance	16	-1.352625288
TUSC3	resistance	17	-1.33230695
NDRG1	resistance	18	-1.272303027
FSTL1	resistance	19	-1.250196948
TACSTD2	resistance	20	-1.239282688
TLE1	resistance	21	-1.209573445
ERRFI1	resistance	22	-1.166431669
MUC1	resistance	23	-1.152730528
GRB7	resistance	24	-1.131230416
FAT1	resistance	25	-1.12059736
ALDH1A3	resistance	26	-1.095302137
WWTR1	resistance	27	-1.092145736
CAV1	resistance	28	-1.091865765
SCG5	resistance	29	-1.086656126
KLF4	resistance	30	-1.065071549
