gene_symbol	direction	rank_in_direction	delta
IKZF1	sensitivity	1	2.421153479
WAS	sensitivity	2	2.271483363
PTPRC	sensitivity	3	2.247399849
LCP1	sensitivity	4	2.188874691
CXCR4	sensitivity	5	2.172423874
MYB	sensitivity	6	2.137965462
RHOH	sensitivity	7	2.085045108
P2RY8	sensitivity	8	2.072328534
INPP5D	sensitivity	9	1.87309526
SEPTIN6	sensitivity	10	1.835703107
BTK	sensitivity	11	1.811840437
POU2AF1	sensitivity	12	1.766002652
VAV1	sensitivity	13	1.753351871
CD79B	sensitivity	14	1.75292029
CD79A	sensitivity	15	1.681100289
RAC2	sensitivity	16	1.616399381
FLI1	sensitivity	17	1.614215785
BCL11A	sensitivity	18	1.605177394
PRKCB	sensitivity	19	1.572537658
KLHL6	sensitivity	20	1.570970246
CBFA2T3	sensitivity	21	1.56714881
SYK	sensitivity	22	1.444249382
LYL1	sensitivity	23	1.429237407
LMO2	sensitivity	24	1.401827527
PIK3CG	sensitivity	25	1.356480869
IRF8	sensitivity	26	1.355245602
TCL1A	sensitivity	27	1.353588942
PLCG2	sensitivity	28	1.303419526
BCL2	sensitivity	29	1.244530498
CD74	sensitivity	30	1.233583165
PLK2	resistance	1	-2.94830705
CAV1	resistance	2	-2.725047226
MET	resistance	3	-2.648728013
SDC4	resistance	4	-2.559883916
DKK1	resistance	5	-2.549686738
CCND1	resistance	6	-2.49853888
WWTR1	resistance	7	-2.489959159
YAP1	resistance	8	-2.417056808
AXL	resistance	9	-2.381132264
NQO1	resistance	10	-2.359633069
ABCC3	resistance	11	-2.262048577
ERRFI1	resistance	12	-2.173985615
LMNA	resistance	13	-2.089416016
FSTL1	resistance	14	-2.033511248
ALDH1A3	resistance	15	-1.952527
EGFR	resistance	16	-1.831270669
ERBB3	resistance	17	-1.825140195
DKK3	resistance	18	-1.822268386
EPAS1	resistance	19	-1.780325076
MAL2	resistance	20	-1.773281739
FAT1	resistance	21	-1.747018207
CD276	resistance	22	-1.725385912
ELF3	resistance	23	-1.676342589
HMGA2	resistance	24	-1.589281031
ID1	resistance	25	-1.554930371
DDR1	resistance	26	-1.548848371
AJUBA	resistance	27	-1.523898705
PPARG	resistance	28	-1.518592149
ARHGEF28	resistance	29	-1.502014634
RRAS	resistance	30	-1.49990802
