gene_symbol	direction	rank_in_direction	delta
IKZF1	sensitivity	1	2.045040477
PTPRC	sensitivity	2	2.016256336
RHOH	sensitivity	3	1.861063532
WAS	sensitivity	4	1.822876145
CXCR4	sensitivity	5	1.777131838
P2RY8	sensitivity	6	1.67477789
LCP1	sensitivity	7	1.641138842
FLI1	sensitivity	8	1.623258816
CD79B	sensitivity	9	1.590933669
MYB	sensitivity	10	1.567452356
CD79A	sensitivity	11	1.538624739
SEPTIN6	sensitivity	12	1.534872351
INPP5D	sensitivity	13	1.522667314
BTK	sensitivity	14	1.440272732
POU2AF1	sensitivity	15	1.401892206
KLHL6	sensitivity	16	1.381146552
PRKCB	sensitivity	17	1.279490493
CBFA2T3	sensitivity	18	1.2775767
RAC2	sensitivity	19	1.216590966
LYL1	sensitivity	20	1.152463822
BCL2	sensitivity	21	1.13844554
PIK3CG	sensitivity	22	1.118303637
IRF8	sensitivity	23	1.107080667
TCL1A	sensitivity	24	1.074063867
IL21R	sensitivity	25	1.061748255
BCL11A	sensitivity	26	1.051705713
VAV1	sensitivity	27	1.010454894
POU2F2	sensitivity	28	0.9849339805
LMO2	sensitivity	29	0.9527694448
PAX5	sensitivity	30	0.9474015299
ALDH1A3	resistance	1	-2.452034125
PLK2	resistance	2	-2.440979814
TACSTD2	resistance	3	-2.384015443
MAL2	resistance	4	-2.297421409
CCND1	resistance	5	-2.29466905
CAV1	resistance	6	-2.27403916
MET	resistance	7	-2.221355543
ELF3	resistance	8	-2.182411983
SDC4	resistance	9	-2.117923523
NQO1	resistance	10	-2.104117418
CDH1	resistance	11	-2.091969732
DKK1	resistance	12	-2.05051216
EPCAM	resistance	13	-1.989265999
ABCC3	resistance	14	-1.981386917
ERBB3	resistance	15	-1.938996454
YAP1	resistance	16	-1.840184411
WWTR1	resistance	17	-1.83217203
DDR1	resistance	18	-1.80291919
ERRFI1	resistance	19	-1.768769946
EGFR	resistance	20	-1.744101527
PRSS8	resistance	21	-1.726173452
KLF5	resistance	22	-1.687155575
LMNA	resistance	23	-1.590286955
AXL	resistance	24	-1.583382056
MST1R	resistance	25	-1.537057294
CD276	resistance	26	-1.49877049
ERBB2	resistance	27	-1.47555949
FAT1	resistance	28	-1.416196529
GRB7	resistance	29	-1.38083615
ID1	resistance	30	-1.350383941
