gene_symbol	direction	rank_in_direction	delta
HMGA2	sensitivity	1	0.5653571725
PAX8	sensitivity	2	0.5342171594
FGFR4	sensitivity	3	0.5258733471
ERBB3	sensitivity	4	0.4771147176
EPCAM	sensitivity	5	0.4762117565
YAP1	sensitivity	6	0.4651119954
TGFBR2	sensitivity	7	0.460810152
FOLR1	sensitivity	8	0.4350552012
ETV4	sensitivity	9	0.4286778108
MST1R	sensitivity	10	0.4208770164
MET	sensitivity	11	0.4075934823
ETS1	sensitivity	12	0.406674523
HNF1B	sensitivity	13	0.4012223829
APOBEC3B	sensitivity	14	0.3998198285
PLK2	sensitivity	15	0.3801993685
FAT1	sensitivity	16	0.3591901503
WWTR1	sensitivity	17	0.3555016096
ERBB2	sensitivity	18	0.3457870584
SDC4	sensitivity	19	0.3387223854
CDH1	sensitivity	20	0.3382525201
MAL2	sensitivity	21	0.329355698
FOXO1	sensitivity	22	0.3258496194
ALDH1A3	sensitivity	23	0.318403004
SGK1	sensitivity	24	0.3162247301
CARD11	sensitivity	25	0.3157214135
GSTP1	sensitivity	26	0.3150672649
ZFP36L1	sensitivity	27	0.3143148275
HOXA3	sensitivity	28	0.3120253647
MITF	sensitivity	29	0.3117710741
NFKB2	sensitivity	30	0.3112203549
UCHL1	resistance	1	-0.864272444
CDKN2C	resistance	2	-0.490086495
NDRG1	resistance	3	-0.4839428779
SESN3	resistance	4	-0.4289221142
ACKR3	resistance	5	-0.4107481104
DKK3	resistance	6	-0.4085822195
LMO2	resistance	7	-0.3682311319
RELN	resistance	8	-0.3546401945
CREB3L1	resistance	9	-0.3526271052
SAMD9L	resistance	10	-0.3440875293
MLLT11	resistance	11	-0.3241316782
ELN	resistance	12	-0.3051236095
DPYD	resistance	13	-0.2993179947
CSF3R	resistance	14	-0.2928365062
SEPTIN5	resistance	15	-0.2925390205
IDH2	resistance	16	-0.292094068
ZNF331	resistance	17	-0.2863965316
PMAIP1	resistance	18	-0.2858213749
COL5A1	resistance	19	-0.2833525637
SAMD9	resistance	20	-0.2804914696
PTPRC	resistance	21	-0.2796814903
PDGFRA	resistance	22	-0.2774614749
LYL1	resistance	23	-0.2707804835
SLFN11	resistance	24	-0.2673950783
RHOH	resistance	25	-0.2658813763
MYB	resistance	26	-0.262659987
PTPN13	resistance	27	-0.2559986448
PBX1	resistance	28	-0.2553885132
FNBP1	resistance	29	-0.2531742912
CBFA2T3	resistance	30	-0.2507351309
