gene_symbol	direction	rank_in_direction	delta
IKZF1	sensitivity	1	0.9559844575
FLI1	sensitivity	2	0.8861932259
WAS	sensitivity	3	0.884553645
MYB	sensitivity	4	0.8434438707
P2RY8	sensitivity	5	0.8023067949
CXCR4	sensitivity	6	0.7805479012
PTPRC	sensitivity	7	0.7768006004
RHOH	sensitivity	8	0.7644376277
INPP5D	sensitivity	9	0.7125629903
SEPTIN6	sensitivity	10	0.6817903952
LCP1	sensitivity	11	0.6714230587
BCL2	sensitivity	12	0.6670289362
LMO2	sensitivity	13	0.6633739659
IRF4	sensitivity	14	0.6585414418
LEF1	sensitivity	15	0.6284080089
CDKN2C	sensitivity	16	0.6243942622
LYL1	sensitivity	17	0.5726423301
SLFN11	sensitivity	18	0.5719183317
POU2AF1	sensitivity	19	0.5528707281
BTK	sensitivity	20	0.5379461013
IL21R	sensitivity	21	0.5144529631
FYN	sensitivity	22	0.4999168682
KLHL6	sensitivity	23	0.4917274467
TCF3	sensitivity	24	0.4811886128
CBFA2T3	sensitivity	25	0.4717745329
MEF2C	sensitivity	26	0.4696517709
PRKCB	sensitivity	27	0.4655588255
DOT1L	sensitivity	28	0.4414819972
PAX5	sensitivity	29	0.4296981943
CD79B	sensitivity	30	0.4283092453
MAL2	resistance	1	-1.484372234
ELF3	resistance	2	-1.438196172
CAV1	resistance	3	-1.401232961
MET	resistance	4	-1.330284363
TACSTD2	resistance	5	-1.325416511
PLK2	resistance	6	-1.286117192
SDC4	resistance	7	-1.23037443
KLF5	resistance	8	-1.227231493
ABCC3	resistance	9	-1.208067295
EPCAM	resistance	10	-1.183903006
CCND1	resistance	11	-1.177657317
CDH1	resistance	12	-1.158576465
EGFR	resistance	13	-1.112764641
PRSS8	resistance	14	-1.110215918
ALDH1A3	resistance	15	-1.102236558
ERBB3	resistance	16	-1.040958137
DDR1	resistance	17	-1.040757421
YAP1	resistance	18	-1.003074378
DKK3	resistance	19	-0.9814948987
GRB7	resistance	20	-0.9787601688
AJUBA	resistance	21	-0.9006562762
AXL	resistance	22	-0.8831010186
WWTR1	resistance	23	-0.8792998504
ID1	resistance	24	-0.8482600796
PTPRK	resistance	25	-0.8443424093
NQO1	resistance	26	-0.8386596885
ERBB2	resistance	27	-0.8205315582
FOLR1	resistance	28	-0.8196135708
FAT1	resistance	29	-0.8171346202
SRC	resistance	30	-0.8099912279
