gene_symbol	direction	rank_in_direction	delta
CXCR4	sensitivity	1	2.027675146
IKZF1	sensitivity	2	1.904487269
LCP1	sensitivity	3	1.86957297
RHOH	sensitivity	4	1.819863438
WAS	sensitivity	5	1.714662723
P2RY8	sensitivity	6	1.696632002
PTPRC	sensitivity	7	1.657017405
RAC2	sensitivity	8	1.493808247
MYB	sensitivity	9	1.372305953
FLI1	sensitivity	10	1.360611701
POU2AF1	sensitivity	11	1.34007242
INPP5D	sensitivity	12	1.305855401
IRF4	sensitivity	13	1.303106141
KLHL6	sensitivity	14	1.259741277
SEPTIN6	sensitivity	15	1.191130551
CD79A	sensitivity	16	1.151789256
CD79B	sensitivity	17	1.14948983
VAV1	sensitivity	18	1.141477577
BTK	sensitivity	19	1.135449708
BCL2	sensitivity	20	1.124530792
TNFRSF17	sensitivity	21	1.053598655
IL21R	sensitivity	22	1.03610602
CBFA2T3	sensitivity	23	1.026392098
PIK3CG	sensitivity	24	0.9832797206
CD74	sensitivity	25	0.977823187
PRKCB	sensitivity	26	0.9712974619
DUSP2	sensitivity	27	0.9341621866
SLFN11	sensitivity	28	0.9227516576
BTG2	sensitivity	29	0.9188518961
TCL1A	sensitivity	30	0.9172988354
MET	resistance	1	-2.293166268
CAV1	resistance	2	-2.17073801
PLK2	resistance	3	-2.021664779
ABCC3	resistance	4	-1.848447299
ALDH1A3	resistance	5	-1.809773923
EGFR	resistance	6	-1.71603917
AXL	resistance	7	-1.713674046
EPCAM	resistance	8	-1.688459833
ERRFI1	resistance	9	-1.676311617
CCND1	resistance	10	-1.650651721
YAP1	resistance	11	-1.596590978
FAT1	resistance	12	-1.566041031
SDC4	resistance	13	-1.559513587
NQO1	resistance	14	-1.540830205
ERBB3	resistance	15	-1.502219598
DKK1	resistance	16	-1.458674491
ID1	resistance	17	-1.421070721
WWTR1	resistance	18	-1.374915952
KLF5	resistance	19	-1.372719816
MAL2	resistance	20	-1.306237294
PPARG	resistance	21	-1.290095793
ELF3	resistance	22	-1.289438927
LMNA	resistance	23	-1.262490597
DKK3	resistance	24	-1.261528467
TACSTD2	resistance	25	-1.244590941
HMGA2	resistance	26	-1.23765085
MLF1	resistance	27	-1.225714232
MST1R	resistance	28	-1.208978427
AJUBA	resistance	29	-1.170952945
KLF4	resistance	30	-1.141564827
