gene_symbol	direction	rank_in_direction	delta
UCHL1	sensitivity	1	1.07158509
EPCAM	sensitivity	2	0.8115750323
GATA3	sensitivity	3	0.8006768973
MUC1	sensitivity	4	0.7257732825
BIRC3	sensitivity	5	0.6948884705
PIM1	sensitivity	6	0.6828538848
CDH1	sensitivity	7	0.6430276273
FOXA1	sensitivity	8	0.5907502218
CBFA2T3	sensitivity	9	0.5906903598
ELF3	sensitivity	10	0.5888039041
ASCL1	sensitivity	11	0.5874036481
IRF1	sensitivity	12	0.5676689592
PTPN6	sensitivity	13	0.5528849954
SCG5	sensitivity	14	0.5480404775
H2BC11	sensitivity	15	0.5348663824
BCL11A	sensitivity	16	0.527026511
PRSS8	sensitivity	17	0.5256874673
HOXD11	sensitivity	18	0.5210582049
IDH2	sensitivity	19	0.484929581
PTPRD	sensitivity	20	0.4641094711
CDKN2C	sensitivity	21	0.4502657037
DNMT3A	sensitivity	22	0.4500152094
MAL2	sensitivity	23	0.448515946
PBX1	sensitivity	24	0.442350791
HLA-B	sensitivity	25	0.4295649497
PGBD5	sensitivity	26	0.4285070877
CD74	sensitivity	27	0.4283680703
SLIT3	sensitivity	28	0.4267686467
H2BC8	sensitivity	29	0.4236594177
CDKN2A	sensitivity	30	0.4223098565
SGK1	resistance	1	-0.830919637
NQO1	resistance	2	-0.7686884171
SOX10	resistance	3	-0.7267250939
CAV1	resistance	4	-0.7126274189
WWTR1	resistance	5	-0.6542476555
ETV4	resistance	6	-0.6317614044
CCND1	resistance	7	-0.5921576499
GAS7	resistance	8	-0.5732295159
PRRX1	resistance	9	-0.5548433734
ETV5	resistance	10	-0.520343594
DDR2	resistance	11	-0.5023852243
FLT1	resistance	12	-0.4877487039
GSTP1	resistance	13	-0.4620670374
LMNA	resistance	14	-0.4470036064
ELN	resistance	15	-0.4356286028
GATA4	resistance	16	-0.4252063883
ATP1A1	resistance	17	-0.3847665113
YAP1	resistance	18	-0.3840229965
APOBEC3B	resistance	19	-0.3723379951
DUSP4	resistance	20	-0.3720791769
PTPN14	resistance	21	-0.3717297842
ITPKB	resistance	22	-0.3647988724
NAB2	resistance	23	-0.3626435469
EPHB4	resistance	24	-0.3507330767
SPRED1	resistance	25	-0.3489783145
EPHA3	resistance	26	-0.3432652197
POU3F2	resistance	27	-0.3401655863
GSTO1	resistance	28	-0.3339264701
NRG1	resistance	29	-0.3308061012
CEBPA	resistance	30	-0.3296448942
