gene_symbol	direction	rank_in_direction	mean_rank
IKZF1	sensitivity	1	1
LCP1	sensitivity	2	3
WAS	sensitivity	3	3
PTPRC	sensitivity	4	4
CXCR4	sensitivity	5	4.5
RHOH	sensitivity	6	5.5
MYB	sensitivity	7	7
INPP5D	sensitivity	8	9
P2RY8	sensitivity	9	9
FLI1	sensitivity	10	10.5
BTK	sensitivity	11	11.5
SEPTIN6	sensitivity	12	12.5
SLFN11	sensitivity	13	13
CD79A	sensitivity	14	14
CD79B	sensitivity	15	14
POU2AF1	sensitivity	16	15.5
KLHL6	sensitivity	17	17
PRKCB	sensitivity	18	17
BCL2	sensitivity	19	19.5
CBFA2T3	sensitivity	20	21
VAV1	sensitivity	21	21.5
RAC2	sensitivity	22	22
IRF4	sensitivity	23	22.5
LYL1	sensitivity	24	23.5
BCL11A	sensitivity	25	24.5
PIK3CG	sensitivity	26	25.5
LEF1	sensitivity	27	27.5
CAV1	resistance	1	2.5
PLK2	resistance	2	2.5
MET	resistance	3	3
ABCC3	resistance	4	4
SDC4	resistance	5	5
MAL2	resistance	6	5.5
CCND1	resistance	7	7
DKK1	resistance	8	8.5
YAP1	resistance	9	8.5
NQO1	resistance	10	10.5
EPCAM	resistance	11	12
EGFR	resistance	12	12.5
ERRFI1	resistance	13	13
ELF3	resistance	14	13.5
WWTR1	resistance	15	15
ALDH1A3	resistance	16	15.5
AXL	resistance	17	15.5
TACSTD2	resistance	18	18
KLF5	resistance	19	20
CDH1	resistance	20	20.5
LMNA	resistance	21	21
AJUBA	resistance	22	22.5
FAT1	resistance	23	24
ERBB3	resistance	24	24.5
PPARG	resistance	25	25
DDR1	resistance	26	25.5
FSTL1	resistance	27	25.5
ID1	resistance	28	28
