gene_symbol	direction	rank_in_direction	delta
SLFN11	sensitivity	1	2.59406118
IKZF1	sensitivity	2	2.47304169
PTPRC	sensitivity	3	2.361736276
LCP1	sensitivity	4	2.346544607
CXCR4	sensitivity	5	2.324502051
WAS	sensitivity	6	2.308751308
MYB	sensitivity	7	2.267568598
RHOH	sensitivity	8	2.252368162
P2RY8	sensitivity	9	2.110618192
INPP5D	sensitivity	10	2.094089496
BTK	sensitivity	11	1.997149609
FLI1	sensitivity	12	1.98099847
CD79B	sensitivity	13	1.975737987
CD79A	sensitivity	14	1.956754033
SEPTIN6	sensitivity	15	1.905530312
POU2AF1	sensitivity	16	1.862340754
PRKCB	sensitivity	17	1.725345772
KLHL6	sensitivity	18	1.701932156
BCL2	sensitivity	19	1.67331049
LYL1	sensitivity	20	1.652424552
RAC2	sensitivity	21	1.650492263
CBFA2T3	sensitivity	22	1.563604956
BCL11A	sensitivity	23	1.489724238
VAV1	sensitivity	24	1.487894782
MEF2C	sensitivity	25	1.456183143
CD74	sensitivity	26	1.447719215
PIK3CG	sensitivity	27	1.434504127
LEF1	sensitivity	28	1.420427192
PAX5	sensitivity	29	1.413088078
IRF4	sensitivity	30	1.406196716
PLK2	resistance	1	-3.098844512
CAV1	resistance	2	-3.029440235
ABCC3	resistance	3	-2.952669522
MET	resistance	4	-2.796418628
SDC4	resistance	5	-2.769409735
YAP1	resistance	6	-2.684680906
CCND1	resistance	7	-2.650750637
DKK1	resistance	8	-2.632932528
NQO1	resistance	9	-2.542689294
ERRFI1	resistance	10	-2.477370912
WWTR1	resistance	11	-2.476831945
EGFR	resistance	12	-2.460417345
MAL2	resistance	13	-2.434135605
TACSTD2	resistance	14	-2.289787344
AXL	resistance	15	-2.258001969
FSTL1	resistance	16	-2.244148876
ELF3	resistance	17	-2.239019881
ALDH1A3	resistance	18	-2.154878748
EPCAM	resistance	19	-2.142933519
LMNA	resistance	20	-2.115660573
CDH1	resistance	21	-2.095555958
FAT1	resistance	22	-2.052895027
AJUBA	resistance	23	-2.026690974
KLF5	resistance	24	-2.023825322
EPAS1	resistance	25	-1.959872404
DDR1	resistance	26	-1.958444772
ERBB3	resistance	27	-1.937900822
ID1	resistance	28	-1.901650082
DKK3	resistance	29	-1.891952904
CD276	resistance	30	-1.881216111
