gene_symbol	direction	rank_in_direction	delta
ETV4	sensitivity	1	2.018153467
CD74	sensitivity	2	1.691933146
ERBB3	sensitivity	3	1.611092098
TNFRSF14	sensitivity	4	1.446330319
DUSP4	sensitivity	5	1.42727595
HMGA2	sensitivity	6	1.346608976
SOX10	sensitivity	7	1.34218374
ETV5	sensitivity	8	1.285474592
DKK1	sensitivity	9	1.227094445
ALDH1A3	sensitivity	10	1.226213422
GAS7	sensitivity	11	1.219856293
TGFBR2	sensitivity	12	1.1845894
RAC2	sensitivity	13	1.089171261
INPP4B	sensitivity	14	1.035198341
CCND1	sensitivity	15	1.009636878
GSTP1	sensitivity	16	0.9926332939
MST1R	sensitivity	17	0.9490462514
CDH1	sensitivity	18	0.8673458392
PPARG	sensitivity	19	0.8408973315
KLF5	sensitivity	20	0.8106798034
TACSTD2	sensitivity	21	0.8023502361
EPCAM	sensitivity	22	0.7897174162
CD22	sensitivity	23	0.7818476728
PTK6	sensitivity	24	0.7798784211
SPRED1	sensitivity	25	0.7770565841
RNF43	sensitivity	26	0.7726074276
HMGA1	sensitivity	27	0.7526989734
GSTO1	sensitivity	28	0.7471685994
MITF	sensitivity	29	0.7405610172
STAT6	sensitivity	30	0.7385414739
UCHL1	resistance	1	-2.493390622
FSTL1	resistance	2	-1.35053293
COL1A1	resistance	3	-1.302630707
CDKN2C	resistance	4	-1.225153589
CDKN2A	resistance	5	-1.179994835
ACKR3	resistance	6	-1.173271847
FGFR1	resistance	7	-1.167173519
COL5A1	resistance	8	-1.132878958
ID3	resistance	9	-1.118108126
MLLT11	resistance	10	-1.108052113
PBX1	resistance	11	-1.084044615
CDH2	resistance	12	-1.083523825
TUSC3	resistance	13	-1.05704404
CHN1	resistance	14	-1.017134288
LIFR	resistance	15	-0.9837845809
NFIB	resistance	16	-0.9711401509
SIX1	resistance	17	-0.9258969674
PSIP1	resistance	18	-0.8761127321
SEPTIN5	resistance	19	-0.8549703352
GREM1	resistance	20	-0.8420777613
MYBL1	resistance	21	-0.8341561082
ZNF331	resistance	22	-0.8325654478
FGF2	resistance	23	-0.8315550987
CDH11	resistance	24	-0.8294004271
NRG1	resistance	25	-0.825296495
HOXD11	resistance	26	-0.8175479732
IDH2	resistance	27	-0.7838743873
TLE2	resistance	28	-0.7616829647
SLIT2	resistance	29	-0.7574589532
PTK7	resistance	30	-0.7492852201
