gene_symbol	direction	rank_in_direction	delta
IKZF1	sensitivity	1	2.702009616
CXCR4	sensitivity	2	2.569697149
WAS	sensitivity	3	2.521433289
MYB	sensitivity	4	2.506966022
PTPRC	sensitivity	5	2.447576379
RHOH	sensitivity	6	2.337317175
P2RY8	sensitivity	7	2.248742545
LCP1	sensitivity	8	2.170065422
INPP5D	sensitivity	9	2.045270406
FLI1	sensitivity	10	1.987109941
BTK	sensitivity	11	1.94969163
SEPTIN6	sensitivity	12	1.931085136
CD79B	sensitivity	13	1.895062168
POU2AF1	sensitivity	14	1.883613847
KLHL6	sensitivity	15	1.789843088
CBFA2T3	sensitivity	16	1.753668279
PRKCB	sensitivity	17	1.720529173
CD79A	sensitivity	18	1.7027029
BCL11A	sensitivity	19	1.667732545
LYL1	sensitivity	20	1.633979234
BCL2	sensitivity	21	1.616220037
IRF4	sensitivity	22	1.55295369
VAV1	sensitivity	23	1.545413174
PIK3CG	sensitivity	24	1.513729045
LEF1	sensitivity	25	1.444254783
LMO2	sensitivity	26	1.439261525
MEF2C	sensitivity	27	1.405103015
RAC2	sensitivity	28	1.403397368
IRF8	sensitivity	29	1.390618067
PAX5	sensitivity	30	1.350976043
PLK2	resistance	1	-3.585147768
CAV1	resistance	2	-3.444135932
ABCC3	resistance	3	-3.208135716
SDC4	resistance	4	-3.153862036
CCND1	resistance	5	-3.028252729
MET	resistance	6	-2.9687569
DKK1	resistance	7	-2.922318981
YAP1	resistance	8	-2.888067089
ALDH1A3	resistance	9	-2.873773895
AXL	resistance	10	-2.814175512
MAL2	resistance	11	-2.782446695
NQO1	resistance	12	-2.748984259
ELF3	resistance	13	-2.733757625
EGFR	resistance	14	-2.688575666
WWTR1	resistance	15	-2.662107705
TACSTD2	resistance	16	-2.62066024
ERRFI1	resistance	17	-2.605394295
FSTL1	resistance	18	-2.421247188
CDH1	resistance	19	-2.385259945
EPCAM	resistance	20	-2.363864772
LMNA	resistance	21	-2.337444111
ERBB3	resistance	22	-2.280266007
EPAS1	resistance	23	-2.268536759
FAT1	resistance	24	-2.268226352
KLF5	resistance	25	-2.211617765
DDR1	resistance	26	-2.180864813
ID1	resistance	27	-2.172270094
AJUBA	resistance	28	-2.127493111
PPARG	resistance	29	-2.04775006
CD276	resistance	30	-1.98031668
