gene_symbol	direction	rank_in_direction	delta
MYB	sensitivity	1	2.72617562
CXCR4	sensitivity	2	2.589521361
IKZF1	sensitivity	3	2.547629285
WAS	sensitivity	4	2.417068906
RHOH	sensitivity	5	2.37326094
PTPRC	sensitivity	6	2.331701467
INPP5D	sensitivity	7	2.229121586
P2RY8	sensitivity	8	2.144318229
LCP1	sensitivity	9	2.001303052
BTK	sensitivity	10	1.969269383
CBFA2T3	sensitivity	11	1.893216962
SEPTIN6	sensitivity	12	1.860998325
CD79B	sensitivity	13	1.826800642
BCL2	sensitivity	14	1.759787134
KLHL6	sensitivity	15	1.726583663
CD79A	sensitivity	16	1.691264996
POU2AF1	sensitivity	17	1.681311601
PRKCB	sensitivity	18	1.66614121
BCL11A	sensitivity	19	1.659845162
LYL1	sensitivity	20	1.628093984
BTG2	sensitivity	21	1.599218957
FLI1	sensitivity	22	1.549280663
LEF1	sensitivity	23	1.545236684
VAV1	sensitivity	24	1.53272985
IRF8	sensitivity	25	1.528420831
IRF4	sensitivity	26	1.527240034
PTPN6	sensitivity	27	1.478070885
DUSP2	sensitivity	28	1.416414743
RAC2	sensitivity	29	1.364071509
PIK3CG	sensitivity	30	1.315698788
CAV1	resistance	1	-4.198240648
PLK2	resistance	2	-3.363268953
DKK1	resistance	3	-3.255482087
AXL	resistance	4	-3.167756955
SDC4	resistance	5	-3.056326135
ALDH1A3	resistance	6	-3.0405028
WWTR1	resistance	7	-3.033037086
YAP1	resistance	8	-2.982604272
EGFR	resistance	9	-2.977710941
FSTL1	resistance	10	-2.950043804
MET	resistance	11	-2.817410782
CCND1	resistance	12	-2.767039876
NQO1	resistance	13	-2.765874653
ABCC3	resistance	14	-2.755900297
ERRFI1	resistance	15	-2.735749203
DKK3	resistance	16	-2.6601035
FAT1	resistance	17	-2.319582558
LMNA	resistance	18	-2.305731193
AJUBA	resistance	19	-2.276109942
TACSTD2	resistance	20	-2.113011916
ID1	resistance	21	-2.10938158
HMGA2	resistance	22	-2.028335665
KLF5	resistance	23	-2.008954255
NRG1	resistance	24	-1.984074023
CD276	resistance	25	-1.928351994
EPAS1	resistance	26	-1.914857726
PTPN14	resistance	27	-1.90913979
RRAS	resistance	28	-1.8841126
HFE	resistance	29	-1.859250109
DDR1	resistance	30	-1.838849048
