gene_symbol	direction	rank_in_direction	delta
COL3A1	sensitivity	1	1.772580407
COL1A2	sensitivity	2	1.647929324
VIM	sensitivity	3	1.601892131
SPARC	sensitivity	4	1.539391543
TPM2	sensitivity	5	1.406889201
CAVIN1	sensitivity	6	1.294802244
RPS4Y1	sensitivity	7	1.254046518
PRRX1	sensitivity	8	1.238436973
LUM	sensitivity	9	1.233025211
EMP3	sensitivity	10	1.210807123
COL1A1	sensitivity	11	1.197217378
CDH11	sensitivity	12	1.195531478
TUBA1A	sensitivity	13	1.163377437
MFAP4	sensitivity	14	1.161500792
LAYN	sensitivity	15	1.154564031
THY1	sensitivity	16	1.142120606
MRC2	sensitivity	17	1.137785118
CLMP	sensitivity	18	1.133239561
COL5A1	sensitivity	19	1.132086943
MMP2	sensitivity	20	1.121293725
DDR2	sensitivity	21	1.120891164
ARMCX2	sensitivity	22	1.090022921
COL5A2	sensitivity	23	1.072294041
PDGFRA	sensitivity	24	1.071901015
LOXL1	sensitivity	25	1.063931486
ZEB1	sensitivity	26	1.047297534
COL6A3	sensitivity	27	1.044709674
FLNC	sensitivity	28	1.043912572
TUBB2B	sensitivity	29	1.015093987
RGS4	sensitivity	30	1.012337357
FXYD3	resistance	1	-1.922559205
SPINT2	resistance	2	-1.829562052
MAL2	resistance	3	-1.814306851
CLDN4	resistance	4	-1.766379425
SPINT1	resistance	5	-1.730734035
ELF3	resistance	6	-1.692731553
EPCAM	resistance	7	-1.676622644
PRSS8	resistance	8	-1.577293332
SLPI	resistance	9	-1.562571984
KRT7	resistance	10	-1.556761889
KRT19	resistance	11	-1.542934797
CDH1	resistance	12	-1.491685968
S100A14	resistance	13	-1.49073877
VAMP8	resistance	14	-1.468612442
TSPAN1	resistance	15	-1.46253068
LSR	resistance	16	-1.461531084
ESRP1	resistance	17	-1.440083408
TACSTD2	resistance	18	-1.40628396
RAB25	resistance	19	-1.392194326
LTBR	resistance	20	-1.389127532
GRB7	resistance	21	-1.357999892
ERBB3	resistance	22	-1.337616785
ADGRG1	resistance	23	-1.335957517
F11R	resistance	24	-1.317829058
CLDN7	resistance	25	-1.313003122
CRB3	resistance	26	-1.306994916
ESRP2	resistance	27	-1.305408329
ST14	resistance	28	-1.295437663
TSTD1	resistance	29	-1.274107959
GALNT3	resistance	30	-1.205169647
