gene_symbol	direction	rank_in_direction	delta
GLUL	sensitivity	1	1.148943381
RBP1	sensitivity	2	1.031000414
WFDC2	sensitivity	3	0.9645463537
KIF1A	sensitivity	4	0.8484840188
NTS	sensitivity	5	0.7985764449
KCNH2	sensitivity	6	0.7869556442
CPE	sensitivity	7	0.7868892389
PRSS21	sensitivity	8	0.7641941656
NELL2	sensitivity	9	0.7112377477
MEST	sensitivity	10	0.7098874408
SLAIN1	sensitivity	11	0.7008528932
CALCB	sensitivity	12	0.6994821866
HOOK1	sensitivity	13	0.6987300437
CHGB	sensitivity	14	0.6930224152
SYP	sensitivity	15	0.6899188342
PRDX2	sensitivity	16	0.6747822145
PROX1	sensitivity	17	0.6628872878
CRABP1	sensitivity	18	0.6598407063
B4GALNT4	sensitivity	19	0.6595821281
MFAP4	sensitivity	20	0.6433618932
LINGO1	sensitivity	21	0.6429448779
CPLX2	sensitivity	22	0.63319661
CKMT1B	sensitivity	23	0.6318195519
GNG4	sensitivity	24	0.6307568819
CORO1A	sensitivity	25	0.6304359469
STMN3	sensitivity	26	0.6288100636
HR	sensitivity	27	0.6265981644
CKMT1A	sensitivity	28	0.6242453067
SNAP25	sensitivity	29	0.6173274514
BEX1	sensitivity	30	0.6155021835
ANXA1	resistance	1	-1.08822992
CAV1	resistance	2	-1.014320109
NNMT	resistance	3	-0.9324363408
SPARC	resistance	4	-0.8605103216
CAV2	resistance	5	-0.8188830913
TM4SF1	resistance	6	-0.8183765351
CD44	resistance	7	-0.8103162346
EMP3	resistance	8	-0.8026080536
PTGR1	resistance	9	-0.8017752693
MYOF	resistance	10	-0.7688074631
MT2A	resistance	11	-0.7450130511
CAPG	resistance	12	-0.7278731863
S100A6	resistance	13	-0.7261138373
SLC2A3	resistance	14	-0.7189047278
CD70	resistance	15	-0.7114930503
TGFBI	resistance	16	-0.6926102399
ABCC2	resistance	17	-0.6799938294
PLAC8	resistance	18	-0.6773631923
SRGN	resistance	19	-0.6728363625
ADM	resistance	20	-0.6681080071
CCN1	resistance	21	-0.6667010345
S100A10	resistance	22	-0.6620263886
GYPC	resistance	23	-0.661517302
CCL2	resistance	24	-0.6501048794
LGALS1	resistance	25	-0.6499652657
MSC	resistance	26	-0.6478809747
KCNN4	resistance	27	-0.6406815445
SPP1	resistance	28	-0.6397023701
PROCR	resistance	29	-0.6385270921
NRG1	resistance	30	-0.6356895981
